Utterance,Sentences,Translated Sentences,Dialog Acts
"原来是“曾因言論被警察傳喚,審查的真實的大陸人”？！ 那岂不是直接有利益冲突，“日軍在中國的大屠殺這個題目也被標示為沒有參考來源”那是某编者根本不看内部链接，所对应条目中来源不算来源当我没说。","['原来是“曾因言論被警察傳喚,審查的真實的大陸人”？！', '那岂不是直接有利益冲突，“日軍在中國的大屠殺這個題目也被標示為沒有參考來源”那是某编者根本不看内部链接，所对应条目中来源不算来源当我没说。']","['It turned out to be ""a real mainlander who was summoned and censored by the police for his speech""? !', 'Isn\'t that a direct conflict of interest, ""The topic of the Japanese massacre in China is also marked as having no reference source."" That is an editor who doesn\'t look at internal links at all, and the source in the corresponding article is not a source when I didn\'t say it.']","[('qy',), ()]"
以 Fedora 6 為例，GeForcce的驅動程式綁X11的版本綁得很兇，只要一更新Linux的X11的套件。 GeForcce的驅動程式大概就掛掉一半了。,"['以 Fedora 6 為例，GeForcce的驅動程式綁X11的版本綁得很兇，只要一更新Linux的X11的套件。', 'GeForcce的驅動程式大概就掛掉一半了。']","['Taking Fedora 6 as an example, the GeForcce driver is tied to the X11 version very fiercely, as long as the Linux X11 package is updated.', ""GeForce's drivers are probably half dead.""]","[('sd',), ('sv',)]"
条目太不中立。 大量篇幅是丑化义和团英雄，美化基督教以及八国联军势力。 比如奸污的形象，事实上奸污行为的是基督教传教士。,"['条目太不中立。', '大量篇幅是丑化义和团英雄，美化基督教以及八国联军势力。', '比如奸污的形象，事实上奸污行为的是基督教传教士。']","['The entry is too neutral.', 'A lot of space is to vilify the heroes of the Boxer Regiment, beautify Christianity and the forces of the Eight-Power Allied Forces.', 'For example, the image of rape, in fact, the rape is a Christian missionary.']","[('sd',), ('sv',), ('sv',)]"
其實在前面已說明在20世紀20至50年代出現了來源，所以我才認為“此问题最终于1950年代修正。 ”不需特別添加來源，不過既然你認為應該添加來源，那就添加囉。 這個我沒有意見。,"['其實在前面已說明在20世紀20至50年代出現了來源，所以我才認為“此问题最终于1950年代修正。', '”不需特別添加來源，不過既然你認為應該添加來源，那就添加囉。', '這個我沒有意見。']","['In fact, it has been stated earlier that the source appeared in the 1920s to 1950s, so I think ""this problem was finally corrected in the 1950s.', '""No need to specifically add a source, but if you think you should, add it.', 'I have no problem with this.']","[('sd',), ('^q',), ('^q',)]"
些对问题的说明，2.以及6.我回头直接另写一个各国政府管理域名的方式的条目，并链接到本条目。 3.由于“中国”域名关注度已经下降了，目前没有找到这样的行为。 4.这是一个比喻，来自于英文原文。,"['些对问题的说明，2.以及6.我回头直接另写一个各国政府管理域名的方式的条目，并链接到本条目。', '3.由于“中国”域名关注度已经下降了，目前没有找到这样的行为。', '4.这是一个比喻，来自于英文原文。']","['Some clarifications to the problem, 2. and 6. I will go back and directly write another entry on the way governments manage domain names, and link to this entry.', '3. Since the attention of the ""China"" domain name has declined, no such behavior has been found so far.', '4. This is a metaphor, from the original English text.']","[('sd',), ('sd',), ('sd',)]"
2015年1月成立羅馬首都廣域市，因为“2015年1月29日 (四) 21:31‎”这笔移动。 导致之前的罗马省的版本归到本条目。,"['2015年1月成立羅馬首都廣域市，因为“2015年1月29日 (四) 21:31\u200e”这笔移动。', '导致之前的罗马省的版本归到本条目。']","['In January 2015, the Metropolitan City of the Capital of Rome was established because of the move of ""January 29, 2015 (Thu) 21:31\u200e"".', 'The version that led to the previous province of Rome is assigned to this article.']","[(), ('sd',)]"
「延長線」是一種多插座的電器用品啊（我不知道大陸怎麼稱呼這種東西）。 叫「延伸段」如何？ 例如上海轨道交通11号线就存在有「11號線延伸段」的用法，台灣的捷運也有，相信最能符合各方語法。,"['「延長線」是一種多插座的電器用品啊（我不知道大陸怎麼稱呼這種東西）。', '叫「延伸段」如何？', '例如上海轨道交通11号线就存在有「11號線延伸段」的用法，台灣的捷運也有，相信最能符合各方語法。']","['An ""extension cord"" is a multi-socket electrical appliance (I don\'t know how the mainland calls this kind of thing).', 'How about an ""extension""?', 'For example, Shanghai Metro Line 11 has the usage of ""line 11 extension"", and Taiwan\'s MRT also has it. I believe it can best meet the grammar of all parties.']","[('sd',), (), ('sv',)]"
Special:LinkSearch/*.yu返回本地163个结果。 看样子不是非常多，应该可以处理。 在知道新域名的情况下，pywikipediabot即可用replace.py替换。,"['Special:LinkSearch/*.yu返回本地163个结果。', '看样子不是非常多，应该可以处理。', '在知道新域名的情况下，pywikipediabot即可用replace.py替换。']","['Special:LinkSearch/*.yu returns 163 local results.', ""It doesn't look like a lot, it should be manageable."", 'Given the new domain name, pywikipediabot can be replaced with replace.py.']","[('sd',), (), ('sd',)]"
我個人贊成方案三，雖然表述起來有些複雜，但操作起來其實是最簡單的。 當下的條目大多符合方案三的要求，需要大改動的條目不多。 但最終要不要改，按什麼樣的方案改，還是經廣泛討論，達成共識比較好。,"['我個人贊成方案三，雖然表述起來有些複雜，但操作起來其實是最簡單的。', '當下的條目大多符合方案三的要求，需要大改動的條目不多。', '但最終要不要改，按什麼樣的方案改，還是經廣泛討論，達成共識比較好。']","['I personally agree with the third option. Although it is a bit complicated to express, it is actually the simplest to operate.', 'Most of the current items meet the requirements of Scheme 3, and there are not many items that need major changes.', 'But in the end, it is better to reach a consensus after extensive discussions on whether to change and what kind of plan to follow.']","[('aa', 'sv'), ('sd',), ('sv',)]"
歡迎大家繼續給予本條目寶貴的意見！ ^__^ Your opinions will make this article better!,"['歡迎大家繼續給予本條目寶貴的意見！', '^__^ Your opinions will make this article better!']","['Welcome everyone to continue to give valuable comments to this article!', '^__^ Your opinions will make this article better!']","[('fc',), ()]"
Anomalocarididae 原為奇蝦科，不作更動。 奇蝦為廣泛流通之俗名，以下譯名將以「蝦」作為核心。 Amplectobeluidae 原為抱怪蟲科，改作鉗蝦科。,"['Anomalocarididae 原為奇蝦科，不作更動。', '奇蝦為廣泛流通之俗名，以下譯名將以「蝦」作為核心。', 'Amplectobeluidae 原為抱怪蟲科，改作鉗蝦科。']","['Anomalocarididae was originally an odd shrimp family, without any changes.', 'Odd shrimp is a widely circulated common name, and the following translations will use ""shrimp"" as the core.', 'Amplectobeluidae was originally the family of monsters, and it was changed to the family of pliers.']","[('sd',), ('sd',), ('sd',)]"
符合标准，感谢贡献。 在簋街胡大看的，嗓子都喊哑了。,"['符合标准，感谢贡献。', '在簋街胡大看的，嗓子都喊哑了。']","['Meets the criteria, thanks for the contribution.', 'Those who watched Hu Da on Guijie Street became hoarse.']","[('bf',), ('sd',)]"
我主要是用我手邊的三個資料來源，英文版的確沒有照著翻譯。 至於都爾和瑪爾定這兩個譯詞是既有的翻譯名詞。,"['我主要是用我手邊的三個資料來源，英文版的確沒有照著翻譯。', '至於都爾和瑪爾定這兩個譯詞是既有的翻譯名詞。']","['I mainly use the three sources of information at hand, and the English version is indeed not translated accordingly.', 'As for the two translated words Dole and Martin, they are existing translated nouns.']","[('sd',), ('sd',)]"
“1962年4月时，NET电视台平均播出16小时的学校教育节目”：这16小时是每周还是每月呢？ 最好标注一下。,"['“1962年4月时，NET电视台平均播出16小时的学校教育节目”：这16小时是每周还是每月呢？', '最好标注一下。']","['""In April 1962, NET TV broadcast an average of 16 hours of school education programs"": Are these 16 hours weekly or monthly?', ""It's best to mark it.""]","[('qy',), ()]"
年份条目的引言应该做到简短，毕竟要考虑到读者的感受，看到长长的引言自然会使阅读兴趣降低一大半。 但是像香港回归这样的条目是介绍一事件，较长的引言能够帮助读者快速地了解事情的梗概（毕竟不用翻太多）。,"['年份条目的引言应该做到简短，毕竟要考虑到读者的感受，看到长长的引言自然会使阅读兴趣降低一大半。', '但是像香港回归这样的条目是介绍一事件，较长的引言能够帮助读者快速地了解事情的梗概（毕竟不用翻太多）。']","[""The introduction of the year entry should be short. After all, the reader's feelings must be considered. Seeing a long introduction will naturally reduce the interest in reading by more than half."", 'But an entry like the return of Hong Kong is an introduction to an event, and a longer introduction can help readers quickly understand the outline of the matter (after all, there is no need to read too much).']","[('sv',), ('sv',)]"
没有人说过英文维基的内容不重要，但User:Wangxuan8331800却非要一味的说日文维基的内容不重要，对新手没用，这实在是莫名其妙。 而且无法理解一直强调剧情是什么意思。,"['没有人说过英文维基的内容不重要，但User:Wangxuan8331800却非要一味的说日文维基的内容不重要，对新手没用，这实在是莫名其妙。', '而且无法理解一直强调剧情是什么意思。']","['No one said that the content of the English wiki is not important, but User:Wangxuan8331800 insists on saying that the content of the Japanese wiki is not important, and it is useless for beginners. This is really baffling.', ""And I can't understand what it means to keep emphasizing the plot.""]","[('sd',), ('sd',)]"
请User:Litanwei用户注意，我不认为我编辑的内容与生者传记方针有任何冲突。 李兰娟评上院士前后被浙江一些卫生工作者频繁举报是客观事实。,"['请User:Litanwei用户注意，我不认为我编辑的内容与生者传记方针有任何冲突。', '李兰娟评上院士前后被浙江一些卫生工作者频繁举报是客观事实。']","[""Please note that User:Litanwei users, I don't think the content I edited has any conflict with the biographies of living people."", 'It is an objective fact that Li Lanjuan was frequently reported by some health workers in Zhejiang before and after she became an academician.']","[(), ('sd',)]"
该方法涉及分阶段和文明方法的组合。 在社会向农业发展阶段的转变中，出现和发展了四个文明：西方（欧洲基督教）文明和三个东方文明 - 儒家，印度佛教和伊斯兰教。,"['该方法涉及分阶段和文明方法的组合。', '在社会向农业发展阶段的转变中，出现和发展了四个文明：西方（欧洲基督教）文明和三个东方文明 - 儒家，印度佛教和伊斯兰教。']","['The method involves a combination of phased and civilized approaches.', 'During the transition of society to the stage of agricultural development, four civilizations emerged and developed: Western (European Christian) civilization and three Eastern civilizations - Confucianism, Indian Buddhism and Islam.']","[('sd',), ('sd',)]"
解釋一下你們的問題： 我是主編，我沒想過李4會協助我修復問題 “此问题最终于1950年代修正 。 ”且不说中间的空格为何被添加，倒是请主编添加一下来源以佐证这句话。,"['解釋一下你們的問題： 我是主編，我沒想過李4會協助我修復問題 “此问题最终于1950年代修正 。', '”且不说中间的空格为何被添加，倒是请主编添加一下来源以佐证这句话。']","['To explain your problem: I\'m the editor in chief, I didn\'t expect Li 4 to help me fix the problem ""This problem was finally fixed in the 1950s.', '""Not to mention why the space in the middle was added, but the editor-in-chief is requested to add a source to support this sentence.']","[('sd',), ('by',)]"
提供參考：Australia駐臺灣的代表機構是澳洲辦事處；中華民國外交部駐Australia的代表機構則是駐澳大利亞臺北經濟文化辦事處。 雙方的代表機構名稱都混用了，更別說民間。,"['提供參考：Australia駐臺灣的代表機構是澳洲辦事處；中華民國外交部駐Australia的代表機構則是駐澳大利亞臺北經濟文化辦事處。', '雙方的代表機構名稱都混用了，更別說民間。']","['For reference: the representative office of Australia in Taiwan is the Australian Office; the representative office of the Ministry of Foreign Affairs of the Republic of China in Australia is the Taipei Economic and Cultural Office in Australia.', 'The names of the representative organizations of both sides are mixed, let alone the civil society.']","[('sd',), ('sv',)]"
欧巴马是美国总统，不是中国国家主席。 “官方”译名是美国政府的， 不是中国新华社。 欧巴马访问上海时用了“欧巴马”，跟学生对话也是 “欧巴马”。,"['欧巴马是美国总统，不是中国国家主席。', '“官方”译名是美国政府的， 不是中国新华社。', '欧巴马访问上海时用了“欧巴马”，跟学生对话也是 “欧巴马”。']","['Obama is the president of the United States, not the president of China.', 'The ""official"" translation is that of the US government, not China\'s Xinhua News Agency.', 'Obama used ""Obama"" when he visited Shanghai, and also used ""Obama"" when talking to students.']","[('sd',), ('sd',), ('sd',)]"
將這個條目歸納為伊斯蘭下的小品可能隱含對伊斯蘭教的污名。 本條目中譯的後宮（英：Harem）出現在鄂圖曼帝國，與伊斯蘭教義的關聯性強度不足以列入此類別。 請參考英文WIKI對同一詞條的闡述。,"['將這個條目歸納為伊斯蘭下的小品可能隱含對伊斯蘭教的污名。', '本條目中譯的後宮（英：Harem）出現在鄂圖曼帝國，與伊斯蘭教義的關聯性強度不足以列入此類別。', '請參考英文WIKI對同一詞條的闡述。']","['Classifying this article as a subcategory under Islam may imply a stigma against Islam.', 'The harem (English: Harem) translated into Chinese in this entry appeared in the Ottoman Empire, and its connection with Islamic teachings is not strong enough to be included in this category.', 'Please refer to the explanation of the same entry in the English WIKI.']","[('sv',), ('sd',), ('ad',)]"
另外， 我做的修改是infobox里面的内容。 Sir， his honorable，这些都不是名字的一部分， 而是头衔。 像其他的头衔一样， 不应该包含在name这一栏里面。,"['另外， 我做的修改是infobox里面的内容。', 'Sir， his honorable，这些都不是名字的一部分， 而是头衔。', '像其他的头衔一样， 不应该包含在name这一栏里面。']","['In addition, the modification I made is the content in the infobox.', 'Sir, his honorable, these are not part of the name, but the title.', 'Like other titles, should not be included in the name column.']","[('sd',), ('sd',), ('sd',)]"
這是中文維基百科，建議參考資料中關於日方史料的英譯版改以原文版替代。 另外有幾處直接以日語維基作為來源並不合適。,"['這是中文維基百科，建議參考資料中關於日方史料的英譯版改以原文版替代。', '另外有幾處直接以日語維基作為來源並不合適。']","['This is Chinese Wikipedia. It is recommended that the English translation of Japanese historical materials in the reference materials be replaced by the original version.', 'There are also several places where it is inappropriate to use the Japanese Wiki directly as a source.']","[('sd',), ('sd',)]"
迪拜酋长国是一個國家（酋長國），是行政區劃名。 迪拜是城市名。 迪拜酋长国這個條目總共有60餘個跨語言連結，甚至在維基數據的編號是位居前列的Q613，足以見得其關注度及重要程度。,"['迪拜酋长国是一個國家（酋長國），是行政區劃名。', '迪拜是城市名。', '迪拜酋长国這個條目總共有60餘個跨語言連結，甚至在維基數據的編號是位居前列的Q613，足以見得其關注度及重要程度。']","['The Emirate of Dubai is a country (Emirate) and is the name of an administrative division.', 'Dubai is the name of the city.', 'There are a total of more than 60 cross-language links in the entry of the Emirate of Dubai, and even the number Q613 ranks at the top of Wikidata, which is enough to show its attention and importance.']","[('sd',), ('sd',), ('sd',)]"
我是新來的，我查了一下韓文、日文、英文維基百科，覺得朝鮮王朝比較好，沒有必要因為“日本人用李氏朝鮮，所以中國人台灣人華人都用李氏朝鮮”。 那“日本人還覺得元朝不是中國、是蒙古，中國是支那呢”。,"['我是新來的，我查了一下韓文、日文、英文維基百科，覺得朝鮮王朝比較好，沒有必要因為“日本人用李氏朝鮮，所以中國人台灣人華人都用李氏朝鮮”。', '那“日本人還覺得元朝不是中國、是蒙古，中國是支那呢”。']","['I’m new here, I checked Korean, Japanese, and English Wikipedia, and I think the Joseon Dynasty is better, it’s not necessary because “the Japanese use Lee’s Joseon, so Chinese, Taiwanese, and Chinese all use Lee’s Joseon”.', 'Then ""the Japanese still think that the Yuan Dynasty is not China, but Mongolia, and China is China"".']","[('sd',), ('^q',)]"
我和Lssrn的意見一致。 不過還有一些可以補充的地方：WP:NPOV：“……不應斷言各種不同觀點之中，某種觀點（不論其是否最流行的觀點或中間觀點）為正確，並把除前述以外的觀點當成只為貶損而提及。,"['我和Lssrn的意見一致。', '不過還有一些可以補充的地方：WP:NPOV：“……不應斷言各種不同觀點之中，某種觀點（不論其是否最流行的觀點或中間觀點）為正確，並把除前述以外的觀點當成只為貶損而提及。']","['I agree with Lssrn.', 'There is something to add, though: WP:NPOV: ""...it should not be asserted that one of the various views (whether it is the most popular or the middle one) is correct and Considered to be mentioned only in derogation.']","[('sd',), ('sd',)]"
其實上面的討論的出了一個結論：如要設定轉換，則需決定大陸方面最常用的譯名。 這不是任何一個地區的問題，而是字詞轉換技術的限制。,"['其實上面的討論的出了一個結論：如要設定轉換，則需決定大陸方面最常用的譯名。', '這不是任何一個地區的問題，而是字詞轉換技術的限制。']","['In fact, the above discussion has led to a conclusion: if you want to set the conversion, you need to determine the most commonly used translated name in the mainland.', 'This is not a problem with any one region, but a limitation of the word conversion technology.']","[(), ('sv',)]"
中文优先和名从主人是维基百科命名的两大原则。 此外，认为此名字不好听而没有人用的朋友请注意，这只是一家之言。 认为该名字好的也大有人在。,"['中文优先和名从主人是维基百科命名的两大原则。', '此外，认为此名字不好听而没有人用的朋友请注意，这只是一家之言。', '认为该名字好的也大有人在。']","['Chinese first and name following master are the two principles of Wikipedia naming.', 'In addition, friends who think this name is ugly and no one uses it, please note that this is just a family opinion.', 'There are many people who think the name is good.']","[('sd',), ('sd',), ('sd',)]"
@user： 你提出這問題是想做什麼？ 因為你是用「個人認為」以及Talk:臺灣#關於離島縣市去展開討論，你詢問「請問各位意見如何？」只是在邀納各方意見是怎麼回應你的認為。,"['@user： 你提出這問題是想做什麼？', '因為你是用「個人認為」以及Talk:臺灣#關於離島縣市去展開討論，你詢問「請問各位意見如何？」只是在邀納各方意見是怎麼回應你的認為。']","['@user: What are you trying to do with this question?', 'Because you use ""personal opinion"" and Talk:台湾# about outlying island counties and cities to start the discussion, and you ask ""What are your opinions?"" You are just inviting opinions from all sides to respond to your opinion.']","[('qo',), ('sd',)]"
在达成共识前，请保持条目稳定版本不变，而非继续进行单方面编辑。 在达成共识前回退至稳定版本符合保护方针规定，即“管理员通常会保护当前的这个修订版本。,"['在达成共识前，请保持条目稳定版本不变，而非继续进行单方面编辑。', '在达成共识前回退至稳定版本符合保护方针规定，即“管理员通常会保护当前的这个修订版本。']","['Until consensus is reached, please keep the stable version of the article unchanged, rather than continuing to make unilateral edits.', 'Falling back to the stable version until consensus is reached is consistent with the conservation policy, which states that ""Administrators would normally protect the current revision.']","[(), ()]"
反对文献参见两点： 1. 《毛泽东年谱》述，8月6日毛泽东出席了中共中央政治局会议，又询问林伯渠有关边区财政经济的问题。 2. 《毛泽东书信选集》述，8月6日给谢觉哉写信，8月8日得到回复。,"['反对文献参见两点： 1. 《毛泽东年谱》述，8月6日毛泽东出席了中共中央政治局会议，又询问林伯渠有关边区财政经济的问题。', '2. 《毛泽东书信选集》述，8月6日给谢觉哉写信，8月8日得到回复。']","['The opposing literature refers to two points: 1. According to ""Mao Zedong Chronicle"", Mao Zedong attended the meeting of the Political Bureau of the Central Committee of the Communist Party of China on August 6, and asked Lin Boqu about the financial and economic issues of the border area.', '2. According to ""Selected Letters of Mao Zedong"", he wrote to Xie Juezai on August 6 and received a reply on August 8.']","[('sd',), ('sd',)]"
因為「耎」的韓語和國語讀音，跟「軟」一樣。 Wishnote - 別再唸錯了！ 田柾國、車學沇..,"['因為「耎」的韓語和國語讀音，跟「軟」一樣。', 'Wishnote - 別再唸錯了！', '田柾國、車學沇..']","['Because the pronunciation of ""耎"" in Korean and Mandarin is the same as ""soft"".', 'Wishnote - Stop mispronouncing!', 'Tian Jungkook, Cha Hak Yeon..']","[('bf',), (), ('sd',)]"
Yee3816547290  a^0的定義就是a和a的乘法反元素作運算，故無法定義0^0，另0^0本身就未定義，故其反元素自然也不存在。 姑且不論這樣的定義合不合理，沒有文獻說明這是不定義的理由。,"['Yee3816547290  a^0的定義就是a和a的乘法反元素作運算，故無法定義0^0，另0^0本身就未定義，故其反元素自然也不存在。', '姑且不論這樣的定義合不合理，沒有文獻說明這是不定義的理由。']","['Yee3816547290 The definition of a^0 is the multiplication inverse element of a and a, so 0^0 cannot be defined, and 0^0 itself is undefined, so its inverse element naturally does not exist.', 'Regardless of whether such a definition is reasonable or not, there is no document stating that this is the reason for not defining it.']","[('sd',), ('sv',)]"
回和平使者： 1. 除了地震外，建築物倒塌就只能由「爆破」造成？ 2. 56分鐘不算短時間，而且大樓部分結構早已被時速800公里的客機撞斷。,"['回和平使者： 1. 除了地震外，建築物倒塌就只能由「爆破」造成？', '2. 56分鐘不算短時間，而且大樓部分結構早已被時速800公里的客機撞斷。']","['Back to Messenger of Peace: 1. In addition to earthquakes, can building collapses only be caused by ""blasting""?', '2. 56 minutes is not a short time, and part of the structure of the building has already been broken by a passenger plane at a speed of 800 kilometers per hour.']","[('sd',), ('sd',)]"
你想斷章取義嗎? 我起初那有把法老和蘇丹等同於皇帝? 只有在條目中提到而不是等同。,"['你想斷章取義嗎?', '我起初那有把法老和蘇丹等同於皇帝?', '只有在條目中提到而不是等同。']","['Do you want to take it out of context?', 'Did I equate pharaohs and sultans with emperors at first?', 'Only mentioned in the entry and not equivalent.']","[('qy',), ('qy',), ('sd',)]"
特殊:diff/47151766。 WP:导言（非共识）：“序言章节在条目中主要有两个作用：介绍条目的主题、概括条目的重点。,"['特殊:diff/47151766。', 'WP:导言（非共识）：“序言章节在条目中主要有两个作用：介绍条目的主题、概括条目的重点。']","['Special: diff/47151766.', 'WP: Introduction (non-consensus): ""The preamble serves two main purposes in an article: it introduces the main topic of the article, and it summarizes the main points of the article.']","[('sd',), ('sd',)]"
包括条目内的学术成份、遣词造句、翻译精确性、完成度及连贯性等一概与内容有关的要点 。 先就整體架構上來說，目前對於納粹德國海軍的戰略和對戰爭的準備上的衝突並沒有具體的提到。,"['包括条目内的学术成份、遣词造句、翻译精确性、完成度及连贯性等一概与内容有关的要点 。', '先就整體架構上來說，目前對於納粹德國海軍的戰略和對戰爭的準備上的衝突並沒有具體的提到。']","['Including the academic content of the entry, the choice of words and sentences, translation accuracy, completeness and coherence, etc., which are all related to the content.', 'First of all, in terms of the overall structure, there is currently no specific mention of the conflict between the strategy of the Nazi German Navy and the preparations for war.']","[('sd',), ('sd',)]"
"在谷歌搜索中，“盐酸”有约24,600,000结果，而“氢氯酸”只有约1,320,000个。 谷歌学术搜索中，“盐酸”有约589,000结果，而“氢氯酸”只有约460个。","['在谷歌搜索中，“盐酸”有约24,600,000结果，而“氢氯酸”只有约1,320,000个。', '谷歌学术搜索中，“盐酸”有约589,000结果，而“氢氯酸”只有约460个。']","['In a Google search, ""hydrochloric acid"" has about 24,600,000 results, while ""hydrochloric acid"" has only about 1,320,000.', 'In Google Scholar, ""hydrochloric acid"" has about 589,000 results, while ""hydrochloric acid"" has only about 460.']","[('sd',), ('sd',)]"
