Utterance,Sentences,Translated Sentences,Dialog Acts
うーん、それは暫定の記事名なんじゃないかと。 墜落原因がはっきりすれば改名の可能性大です。,"['うーん、それは暫定の記事名なんじゃないかと。', '墜落原因がはっきりすれば改名の可能性大です。']","[""Hmmm, I think that's a provisional title for the article."", 'If the cause of the crash is clarified, there is a high possibility of a name change.']","[(), ('sd',)]"
梅に興味があるので、少し書かせて下さい。 分類で、サクラ属ですが、Ｐｒｕｍｕｓは、スモモなのに、なぜ、サクラ属なのか不思議です。 特徴および品種で、アンズの近縁種であり、容易に交雑する。,"['梅に興味があるので、少し書かせて下さい。', '分類で、サクラ属ですが、Ｐｒｕｍｕｓは、スモモなのに、なぜ、サクラ属なのか不思議です。', '特徴および品種で、アンズの近縁種であり、容易に交雑する。']","['I am interested in plums, so please let me write a little.', 'Although it is classified as the genus Prunus, I wonder why it belongs to the genus Prunus, even though it is a plum.', 'In character and cultivar, it is closely related to apricots and readily hybridizes.']","[('sd',), ('sd',), ('sd',)]"
人の話をぜんぜん聞かない人ですね。 「影響を与えている」ことと「ムーブメントが続いている」ということはまったく異なるということを何故理解できないのですか。,"['人の話をぜんぜん聞かない人ですね。', '「影響を与えている」ことと「ムーブメントが続いている」ということはまったく異なるということを何故理解できないのですか。']","[""He's the kind of person who doesn't listen to people at all."", 'Why can\'t you understand that being ""influential"" and ""becoming a movement"" are two different things?']","[('sv',), ('qo',)]"
に投稿したものです（Senatsuki（会話）による付記）。 とりあえず一つだけ。 あなたの発言「「半順序」は文科省発行の数学用語対訳一覧に記載されることもなく」に対して。,"['に投稿したものです（Senatsuki（会話）による付記）。', 'とりあえず一つだけ。', 'あなたの発言「「半順序」は文科省発行の数学用語対訳一覧に記載されることもなく」に対して。']","['(Added by Senatsuki (conversation)).', 'Just one for now.', 'In response to your remark ""\'partial order\' is not even listed in the bilingual list of mathematical terms published by the Ministry of Education, Culture, Sports, Science and Technology.""']","[(), (), ('sd',)]"
花見の将来の項で「画像のともやま公園」とありますが、この記事内に画像はありません。 また、インターネットで検索したところ、ともやま公園で桜の植え替えをしている情報は得られませんでした。,"['花見の将来の項で「画像のともやま公園」とありますが、この記事内に画像はありません。', 'また、インターネットで検索したところ、ともやま公園で桜の植え替えをしている情報は得られませんでした。']","['There is ""Tomoyama Park in the image"" in the future section of Hanami, but there is no image in this article.', 'Also, when I searched on the Internet, I could not find information about replanting cherry blossoms at Tomoyama Park.']","[('sd',), ('sd',)]"
最初のページ（初版）はウィキペディア韓国語版の翻訳をもとに加筆・変更したものと思われます。 要約欄に[[ko:박주미]] (2010년 9월 21일 (화) 10:35 ) を翻訳、加筆・変更。,"['最初のページ（初版）はウィキペディア韓国語版の翻訳をもとに加筆・変更したものと思われます。', '要約欄に[[ko:박주미]] (2010년 9월 21일 (화) 10:35 ) を翻訳、加筆・変更。']","['The first page (first edition) seems to have been added and changed based on the translation of the Korean version of Wikipedia.', '[[ko:박주미]] (2010년 9월 21일 (화) 10:35) translated, added and changed in the summary column.']","[('sd',), ()]"
それはその通りです。 ですのでカテゴリーも「ゲイを自称する人物」「レズビアンを自称する人物」が正しい。 しかし、現実としてはこれを「ゲイの人物」「レズビアンの人物」と呼んでいるわけです。,"['それはその通りです。', 'ですのでカテゴリーも「ゲイを自称する人物」「レズビアンを自称する人物」が正しい。', 'しかし、現実としてはこれを「ゲイの人物」「レズビアンの人物」と呼んでいるわけです。']","[""That's right."", 'Therefore, the correct categories are ""people who call themselves gay"" and ""people who call themselves lesbians"".', 'However, in reality, this is called a ""gay person"" or a ""lesbian person"".']","[('aa',), ('sd',), ('sd',)]"
とりあえず、臨床的観点から転記します。 でも、アウトラインはそのまま残しておきます。 何か不都合があれば、どんどん修正してください。,"['とりあえず、臨床的観点から転記します。', 'でも、アウトラインはそのまま残しておきます。', '何か不都合があれば、どんどん修正してください。']","['For the time being, I will post from a clinical point of view.', 'But leave the outline as is.', 'If there are any problems, please feel free to correct them.']","[('sd',), ('ad',), ('ad',)]"
>>公開前から役柄について物議を交わしていた原作ファンや批評家から絶賛された。 「物議」は「醸す」もので「交わす」ものではありません。,"['>>公開前から役柄について物議を交わしていた原作ファンや批評家から絶賛された。', '「物議」は「醸す」もので「交わす」ものではありません。']","['>> It was highly praised by fans and critics of the original work, who had been controversial about the role even before its release.', '""Controversy"" is something that is ""created"", not something that is ""exchanged"".']","[('sv',), ()]"
加筆ご苦労様です。 同位体について網羅的な知識をもっているわけではないですが、現在の内容自体にはそれほど致命的な問題があるとは思いません。,"['加筆ご苦労様です。', '同位体について網羅的な知識をもっているわけではないですが、現在の内容自体にはそれほど致命的な問題があるとは思いません。']","['Thank you for your hard work.', ""I don't have exhaustive knowledge about isotopes, but I don't think the current content itself has that much of a fatal problem.""]","[('fc',), ()]"
伊達政宗像について。 つい数ヶ月前にWikipedia:削除依頼/ファイル:伊達政宗の騎馬像01.jpgを議論してまして。 同一被写体の画像は余り面白くないなと言った次第です。,"['伊達政宗像について。', 'つい数ヶ月前にWikipedia:削除依頼/ファイル:伊達政宗の騎馬像01.jpgを議論してまして。', '同一被写体の画像は余り面白くないなと言った次第です。']","['About the statue of Masamune Date.', ""Just a few months ago, we were discussing Wikipedia:Deletion Request/File:Date Masamune's Equestrian Statue 01.jpg."", 'I just said that images of the same subject are not very interesting.']","[('sd',), ('sd',), ('sd',)]"
いいですか？ 金利の上げ下げという金融政策は科学的にも、社会的にも実証されているわけです。 だから、高橋氏もそういってるわけです。,"['いいですか？', '金利の上げ下げという金融政策は科学的にも、社会的にも実証されているわけです。', 'だから、高橋氏もそういってるわけです。']","['May I?', 'The monetary policy of raising and lowering interest rates has been scientifically and socially proven.', ""That's why Mr. Takahashi says so.""]","[(), ('sv',), ('sd',)]"
の版（利用者:アルファルドさん執筆）は加筆部分のみ採用する。 重複部分があれば、ページ上部にある記載を生かす。 ただし、後述の形で充実した説明がある場合は詳細部分は後述部に移すことも認める。,"['の版（利用者:アルファルドさん執筆）は加筆部分のみ採用する。', '重複部分があれば、ページ上部にある記載を生かす。', 'ただし、後述の形で充実した説明がある場合は詳細部分は後述部に移すことも認める。']","['version (user: written by Mr. Alphard) adopts only the revised part.', 'If there are duplicates, use the description at the top of the page.', 'However, if there is a substantial explanation in the form described later, the detailed part may be moved to the later part.']","[('sd',), ('sv',), ('sv',)]"
１.論文アクセスリンク(CiNii)をたどると同姓同名の別人の論文があるだけなので、以下を脚注ごと削除。 ついでに本文も合わなくなるので「伝統的ホロコースト史学」という言葉も削除。,"['１.論文アクセスリンク(CiNii)をたどると同姓同名の別人の論文があるだけなので、以下を脚注ごと削除。', 'ついでに本文も合わなくなるので「伝統的ホロコースト史学」という言葉も削除。']","['1. If you follow the article access link (CiNii), you will only find papers by another person with the same name, so the following is deleted along with the footnotes.', 'I also deleted the term ""traditional Holocaust historiography"" because it doesn\'t fit the text.']","[('sd',), ('sd',)]"
言わんとするところはわかるのですが、出典無しでそのように定義づけるのは独自研究になってしまいそうです。 ちゃんとした演劇用語事典などに「シチュエーション・コメディ」について載っていればいいのですが。,"['言わんとするところはわかるのですが、出典無しでそのように定義づけるのは独自研究になってしまいそうです。', 'ちゃんとした演劇用語事典などに「シチュエーション・コメディ」について載っていればいいのですが。']","['I know what you mean, but defining it like that without a source seems like it would be an independent study.', 'It would be nice if ""situation comedy"" was mentioned in a decent dictionary of theatrical terms.']","[('sv',), ('sv',)]"
戸田恵梨香「大阪は下品汚い」   保護解除依頼のページからやって来ました。 残念ながら依頼者の意見だけでは解除は難しいと思います。,"['戸田恵梨香「大阪は下品汚い」   保護解除依頼のページからやって来ました。', '残念ながら依頼者の意見だけでは解除は難しいと思います。']","['Erika Toda ""Osaka is Vulgar and Dirty"" I came from the protection removal request page.', ""Unfortunately, I think that it is difficult to cancel only with the requester's opinion.""]","[('sd',), ('sv',)]"
こんにちはM338といいます。 この記事槌は、2005年から多くの方々によって書き込まれ技術的な説明に偏る事無く幅広い内容の記事として読ませて貰っていました。,"['こんにちはM338といいます。', 'この記事槌は、2005年から多くの方々によって書き込まれ技術的な説明に偏る事無く幅広い内容の記事として読ませて貰っていました。']","['Hello, my name is M338.', 'This article has been written by many people since 2005 and has been read as an article with a wide range of content without being biased towards technical explanations.']","[('fp',), ('sd',)]"
皆さん御意見ありがとうございました。 残念ながら武天界さんが6ヶ月間の投稿ブロックになってしまったようです。,"['皆さん御意見ありがとうございました。', '残念ながら武天界さんが6ヶ月間の投稿ブロックになってしまったようです。']","['Thank you for your opinion.', 'Unfortunately, Mr. Mutenkai has been blocked for 6 months.']","[('ft',), ('sd',)]"
本項目に「非同盟諸国首脳会議」を統合することを提案いたします。 非同盟諸国首脳会議は元々、非同盟の立場から生まれたものであり、両項目は内容がかなり重複します。,"['本項目に「非同盟諸国首脳会議」を統合することを提案いたします。', '非同盟諸国首脳会議は元々、非同盟の立場から生まれたものであり、両項目は内容がかなり重複します。']","['I propose to integrate the ""Non-Aligned Nations Summit"" into this item.', 'The Non-Aligned Nations Summit was originally born out of the Non-Aligned position, and the two items overlap considerably in content.']","[('sd',), ('sd',)]"
現状では神門善久による個人的な意味づけ、感情的な責任論、非科学的な原因論が、冒頭部に大量に展開されています。 このような文章は決して百科事典的な「事実に関する記述」ではありません。,"['現状では神門善久による個人的な意味づけ、感情的な責任論、非科学的な原因論が、冒頭部に大量に展開されています。', 'このような文章は決して百科事典的な「事実に関する記述」ではありません。']","['At present, Yoshihisa Kando presents a large amount of personal meaning, emotional responsibility, and unscientific causal theories at the beginning.', 'Such texts are by no means encyclopedic ""statements of fact.""']","[('sv',), ()]"
MMMRCOWさんへ。 Wikipediaの方針に「事実確認と正確さについて定評のある、信用できる第三者情報源に基いて書くべきです。」とあります。,"['MMMRCOWさんへ。', 'Wikipediaの方針に「事実確認と正確さについて定評のある、信用できる第三者情報源に基いて書くべきです。」とあります。']","['To MMMRCOW.', 'Wikipedia\'s policy states: ""You should base your writing on credible third-party sources with established reputations for fact-checking and accuracy.""']","[('+',), ('^q',)]"
OVA版のあらすじの記述について、編集合戦になりかねない状況にあります。 私の意見としては、2016年2月27日 (土) 21:35時点での記述は、正直長すぎると思います。,"['OVA版のあらすじの記述について、編集合戦になりかねない状況にあります。', '私の意見としては、2016年2月27日 (土) 21:35時点での記述は、正直長すぎると思います。']","['Regarding the description of the OVA version of the synopsis, we are in a situation that could lead to an edit war.', 'In my opinion, the description as of 21:35 on Saturday, February 27, 2016 is honestly too long.']","[('sd',), ('sv',)]"
なお、編集合戦を引き起こすことや、保護することを目的に rv したわけではないのでご了承下さい。 性急すぎる編集は好ましくないということが大前提にあります。,"['なお、編集合戦を引き起こすことや、保護することを目的に rv したわけではないのでご了承下さい。', '性急すぎる編集は好ましくないということが大前提にあります。']","[""Please note that I didn't rv for the purpose of causing an edit war or protecting it."", 'The main premise is that editing too hastily is not desirable.']","[('sd',), ('sv',)]"
傷つけてしまったのなら申し訳ありません。 独自研究と言うとキツくなると思って、「独創」という言葉を使いました。 「独創的」って素晴らしいですから。,"['傷つけてしまったのなら申し訳ありません。', '独自研究と言うとキツくなると思って、「独創」という言葉を使いました。', '「独創的」って素晴らしいですから。']","[""I'm sorry if I hurt you."", 'I used the word ""original"" because I thought it would be difficult to say ""original research"".', 'Because ""creative"" is great.']","[('fa',), ('sd',), ('sv',)]"
朝日新聞はこのような記事を書いています。 これは明らかに立憲民主党に対して攻撃したような記事です。 支持者からも批判が出ました。,"['朝日新聞はこのような記事を書いています。', 'これは明らかに立憲民主党に対して攻撃したような記事です。', '支持者からも批判が出ました。']","['The Asahi Shimbun wrote this article.', 'This is clearly an article that attacks the Constitutional Democratic Party.', 'It was also criticized by supporters.']","[('sd',), ('sv',), ('sd',)]"
はじめまして。 ふんわりさん。 ノート:動物の方にも書いたように、私自身はニホンザルの専門家というわけではないので、お力にはなれませんが、一般論だけ書きます。,"['はじめまして。', 'ふんわりさん。', 'ノート:動物の方にも書いたように、私自身はニホンザルの専門家というわけではないので、お力にはなれませんが、一般論だけ書きます。']","['nice to meet you.', 'Fluffy.', ""Note: As I wrote about animals, I am not an expert on Japanese macaques, so I can't help you, but I will write only generalities.""]","[('fc',), ('b^m',), ('sd',)]"
残念ながら、貴方の李舜臣像は戦前の日本が軍拡のために流布した物語的な俗説と一致しています。 研究の進んでいない欧米でも同じ物語や俗説レベルの情報源を使っています。,"['残念ながら、貴方の李舜臣像は戦前の日本が軍拡のために流布した物語的な俗説と一致しています。', '研究の進んでいない欧米でも同じ物語や俗説レベルの情報源を使っています。']","['Unfortunately, your image of Yi Sun-shin is in line with the narrative myths that prewar Japan circulated for military expansion.', 'The same narratives and folklore sources are used in the less researched Western countries.']","[('aa',), ('sv',)]"
関連書籍を増強して下さり、ありがとうございます。 正確性のテンプレは、Wikipedia:正確さに疑問がある記事の条件を満たしていないので、ひとまず外しました。,"['関連書籍を増強して下さり、ありがとうございます。', '正確性のテンプレは、Wikipedia:正確さに疑問がある記事の条件を満たしていないので、ひとまず外しました。']","['Thank you for enhancing the related books.', 'The accuracy template is removed for the time being because it does not meet the conditions of Wikipedia: Articles with questionable accuracy.']","[('fc',), ('sd',)]"
呼び名の話で恐縮です。 用語問題は何度か出ているようですが、今回は将来への処置を考えておいて欲しいという提言です。 自然エネルギーが再生したものではないことは、普通の人なら理解している筈です。,"['呼び名の話で恐縮です。', '用語問題は何度か出ているようですが、今回は将来への処置を考えておいて欲しいという提言です。', '自然エネルギーが再生したものではないことは、普通の人なら理解している筈です。']","[""I'm sorry to hear about your name."", 'It seems that the terminology problem has come up several times, but this time it is a proposal to think about future measures.', 'Ordinary people should understand that natural energy is not regenerated.']","[('fa',), ('sd',), ('sv',)]"
「フラウィウス闘技場」の名称の通りですね。 しかし、どう表記するかは少し考えなければならないのではないでしょうか。,"['「フラウィウス闘技場」の名称の通りですね。', 'しかし、どう表記するかは少し考えなければならないのではないでしょうか。']","['It\'s just like the name ""Flavian Arena"".', 'However, you may have to think a little about how to write it.']","[('sd',), ('sv',)]"
このような記事の内容充実に直結しない論争は早期決着が望ましいと考えます故、私はそれでも構いません。 ただ1つだけ条件があります。,"['このような記事の内容充実に直結しない論争は早期決着が望ましいと考えます故、私はそれでも構いません。', 'ただ1つだけ条件があります。']","['I think that it is desirable to settle disputes that are not directly related to the content of such articles as soon as possible, so I do not mind that.', 'There is only one condition.']","[('sd',), ('sd',)]"
色々な意味で間違いということです。 JPOVでなければ間違えていても記載できると考えてるんですか？ それこそ本末転倒です。,"['色々な意味で間違いということです。', 'JPOVでなければ間違えていても記載できると考えてるんですか？', 'それこそ本末転倒です。']","['It is wrong in many ways.', ""If it's not JPOV, do you think you can write it even if you make a mistake?"", ""That's the end of the world.""]","[('sv',), ('qy',), ('sv',)]"
神木隆之介の出演作品もかなり増えてきましたし、「現状では見にくい」という感じがします。 今後もさらに急速に増えることが予想されますので、そろそろ出演作品を主なものだけにしたほうが良くないでしょうか。,"['神木隆之介の出演作品もかなり増えてきましたし、「現状では見にくい」という感じがします。', '今後もさらに急速に増えることが予想されますので、そろそろ出演作品を主なものだけにしたほうが良くないでしょうか。']","['The number of works featuring Ryunosuke Kamiki has increased considerably, and I feel that ""currently, it is difficult to see.""', ""It is expected that the number will increase rapidly in the future, so wouldn't it be better to limit the appearances to only the main works soon?""]","[(), ('qy',)]"
「ロビンス」の表記はやめて「ロビンズ」にしたいです。 なぜ「ロビンス」の表記なのですか？ 日本社名はB-R サーティワン アイスクリームのようですし、ロビンスの表記に出典があるとも思えません。,"['「ロビンス」の表記はやめて「ロビンズ」にしたいです。', 'なぜ「ロビンス」の表記なのですか？', '日本社名はB-R サーティワン アイスクリームのようですし、ロビンスの表記に出典があるとも思えません。']","['I want to stop using ""Robins"" and change it to ""Robins"".', 'Why is it called ""Robins""?', ""The Japanese company name seems to be B-R 31 Ice Cream, and I don't think there is a source for Robbins' notation.""]","[('sd',), ('qw',), ('sd',)]"
話は奈良時代の話で、「浦島が子」と万葉集に歌われています。 大抵、「子」と付くと未婚男性ですね。 で・・乙姫と一緒に暮らしたとなっているのですが・・竜宮城に行く前に乙姫と結婚しています。,"['話は奈良時代の話で、「浦島が子」と万葉集に歌われています。', '大抵、「子」と付くと未婚男性ですね。', 'で・・乙姫と一緒に暮らしたとなっているのですが・・竜宮城に行く前に乙姫と結婚しています。']","['The story is from the Nara period, and is sung in the Manyoshu as ""Urashima is a child"".', 'Most of the time, the word “ko” means an unmarried man.', 'So, it is said that he lived with Otohime, but he got married to Otohime before going to Ryugu Castle.']","[('sd',), ('sd',), ('sd',)]"
「要出典」をつけておいたところを中心に出典の無い記述を除去しました。 出典の見つかる可能性がありそうなものは下に挙げておくので、本文に復帰させる場合は出典つきでお願いします。,"['「要出典」をつけておいたところを中心に出典の無い記述を除去しました。', '出典の見つかる可能性がありそうなものは下に挙げておくので、本文に復帰させる場合は出典つきでお願いします。']","['I have removed the descriptions without references, especially where I marked ""citation needed"".', 'If you want to return to the main text, please include the source, as I will list below the ones that are likely to be found in the source.']","[('sd',), ()]"
テンプレートが添付された時点では議題が無く、指摘の6分間ではなく、およそ9時間投稿されなかったので、テンプレートを剥がしました。 支離滅裂とも思いませんし、特に責任も感じません。,"['テンプレートが添付された時点では議題が無く、指摘の6分間ではなく、およそ9時間投稿されなかったので、テンプレートを剥がしました。', '支離滅裂とも思いませんし、特に責任も感じません。']","[""There was no agenda at the time the template was attached, and it hadn't been posted for about 9 hours instead of the suggested 6 minutes, so I took it off."", ""I don't think it's incoherent, and I don't feel particularly responsible.""]","[('sd',), ('sv',)]"
すいません。 私の利用者ページで指摘を受けました。 タグは外します。,"['すいません。', '私の利用者ページで指摘を受けました。', 'タグは外します。']","['Excuse me.', 'It was pointed out on my user page.', 'Remove the tag.']","[('br',), ('sd',), ('^2',)]"
"現状では反対よりです。 有意な「フィリップ・ジャック・ブルックスの名前で現在試合を行っている」という情報がありません。 UFCで試合しても、2,3試合した程度では直ちに改名するべきとも思えません。","['現状では反対よりです。', '有意な「フィリップ・ジャック・ブルックスの名前で現在試合を行っている」という情報がありません。', 'UFCで試合しても、2,3試合した程度では直ちに改名するべきとも思えません。']","['At present it is the opposite.', 'There is no meaningful ""currently playing matches under the name of Philip Jack Brooks"".', ""Even if you fight in the UFC, I don't think you should change your name immediately after only a few fights.""]","[('sd',), ('^q',), ('sv',)]"
どのような理由から砂漠では戦えないのか理由を示してください。 上記発言を引用した本に理由までは書いていなかったのですが・・・砂漠用の戦車には細かい砂塵に対する防御が徹底的に施されています。,"['どのような理由から砂漠では戦えないのか理由を示してください。', '上記発言を引用した本に理由までは書いていなかったのですが・・・砂漠用の戦車には細かい砂塵に対する防御が徹底的に施されています。']","[""Give me a reason why you can't fight in the desert."", ""The book that quoted the above statement didn't say why, but... desert tanks are thoroughly protected against fine dust.""]","[('ad',), ('sd',)]"
Calveroさんコメント有難うございます。 私の調べた範囲で、中野友加里さん本人のサイトは存在しないようです。,"['Calveroさんコメント有難うございます。', '私の調べた範囲で、中野友加里さん本人のサイトは存在しないようです。']","['Thank you Calvero for your comment.', ""As far as I have researched, Yukari Nakano's website does not seem to exist.""]","[('fc',), ('sd',)]"
ブラジルサッカー監督のメネゼス監督が解任されたというニュースを聞きました。 メネゼスも使うようですのでリダイレクトを作成し見送ります。,"['ブラジルサッカー監督のメネゼス監督が解任されたというニュースを聞きました。', 'メネゼスも使うようですのでリダイレクトを作成し見送ります。']","['I heard the news that Brazilian soccer coach Menezes was dismissed.', 'It seems that Menezes also uses it, so I will create a redirect and send it off.']","[('sd',), ('sd',)]"
125.31.99.184氏、125.31.92.67氏、125.31.101.212氏が差戻ししていますが、記事の見出しに定義されていない曖昧な文言は使用すべきでありません。 モーニング娘。,"['125.31.99.184氏、125.31.92.67氏、125.31.101.212氏が差戻ししていますが、記事の見出しに定義されていない曖昧な文言は使用すべきでありません。', 'モーニング娘。']","['Rejected by 125.31.99.184, 125.31.92.67, and 125.31.101.212, undefined ambiguous language in article headlines should not be used.', 'Morning Musume.']","[('sd',), ('fp',)]"
下記の内容の曖昧さ回避を造ろうと考えていたのですが、このページの上部に付記したほうが良いでしょうか？ 実際その方が綺麗ですし、ご意見をいただければ幸いです。,"['下記の内容の曖昧さ回避を造ろうと考えていたのですが、このページの上部に付記したほうが良いでしょうか？', '実際その方が綺麗ですし、ご意見をいただければ幸いです。']","['I was thinking of creating a disambiguation for the following content, but would it be better to add it to the top of this page?', ""It's actually nicer, and I'd love to hear your thoughts on it.""]","[('qy',), ('sd',)]"
現社名は上海宝鋼集団公司ではなく宝鋼集団有限公司であるようですが（しかも、2005年から）。 ご丁寧に政府の公告も出てます（）。,"['現社名は上海宝鋼集団公司ではなく宝鋼集団有限公司であるようですが（しかも、2005年から）。', 'ご丁寧に政府の公告も出てます（）。']","['It seems that the current company name is Baosteel Group Co., Ltd., not Shanghai Baosteel Group Co., Ltd. (and since 2005).', ""The government's official announcement is also polite ().""]","[('sd',), ('sd',)]"
表記関連をちょっと調べてみました。 ゲーム  Xbox 360版  公式サイト - サイトのタイトルは「Blue Dragon」、ゲーム情報では「ブルードラゴン」表記。,"['表記関連をちょっと調べてみました。', 'ゲーム  Xbox 360版  公式サイト - サイトのタイトルは「Blue Dragon」、ゲーム情報では「ブルードラゴン」表記。']","['I did some research on notation.', 'Game Xbox 360 version official site-The title of the site is ""Blue Dragon"", and the game information is ""Blue Dragon"".']","[('sd',), ('sd',)]"
私が書いた、”ルーシエンは「明けの明星」を意味する、ティンドーミエルと呼ばれていた。 ”、という記述を、Earendilさんが、”ルーシエンは「明けの明星」を意味する、ティヌヴィエルと呼ばれていた。,"['私が書いた、”ルーシエンは「明けの明星」を意味する、ティンドーミエルと呼ばれていた。', '”、という記述を、Earendilさんが、”ルーシエンは「明けの明星」を意味する、ティヌヴィエルと呼ばれていた。']","['I wrote, ""Luthien was called Tindomiel, which means \'Morning Star.', 'Earendil said, ""Luthien was called Tinuviel, which means \'morning star\'.']","[('sd',), ('sd',)]"
バガボンドの項が肥大化して見づらさを感ます。 登場人物は分割を検討しても良いのではないでしょうか？ バガボンドの項が３２キロバイトを超えてますので、最近編集する時に容量の重さを感じます。,"['バガボンドの項が肥大化して見づらさを感ます。', '登場人物は分割を検討しても良いのではないでしょうか？', 'バガボンドの項が３２キロバイトを超えてますので、最近編集する時に容量の重さを感じます。']","['The vagabond term is bloated and I find it difficult to see.', 'Maybe the characters should consider splitting up?', 'Since the item of Vagabond exceeds 32 kilobytes, I feel the weight of the capacity when I edit it recently.']","[('sd',), ('qy',), ('sd',)]"
とりあえず編集してみました。 コレをベースに削除、修正、加筆、若しくは全く削除、新規文でもかまいません。,"['とりあえず編集してみました。', 'コレをベースに削除、修正、加筆、若しくは全く削除、新規文でもかまいません。']","['I tried to edit it.', 'Based on this, it can be deleted, corrected, added, or completely deleted, or a new sentence.']","[('sd',), ('sd',)]"
急ぐつもりはありませんが、いつまでもぐずぐずやっていても仕方がないし、投票を行うことには異論はないようですので。 反論の形での意見はいりません。,"['急ぐつもりはありませんが、いつまでもぐずぐずやっていても仕方がないし、投票を行うことには異論はないようですので。', '反論の形での意見はいりません。']","[""I'm not in a hurry, but there's no point in procrastinating, and there seems to be no objection to voting."", 'No comments in the form of counterarguments.']","[('sv',), ()]"
コメントありがとうございます。 『Seventeen (雑誌)』が正式な名称かどうかではなく、改名提案のないまま移動した手続きに問題があると考えます。,"['コメントありがとうございます。', '『Seventeen (雑誌)』が正式な名称かどうかではなく、改名提案のないまま移動した手続きに問題があると考えます。']","['Thank you for your comment.', 'I think the problem is not whether ""Seventeen"" is the official name, but the procedure for moving without a proposed name change.']","[('fc',), ('sv',)]"
