Sentence,dialog_acts
"Many of her earlier children's books were out of print in recent years, but have now been re-issued for the young audience whose interest in fantasy and reading was spurred by Harry Potter.","('sd',)"
[3][4] The two given sources may be sufficient although the references need to be completed.,()
"Hello fellow Wikipedians, I have just modified on Tyler Joseph.","('sd',)"
Please take a moment to review my edit.,"('ad',)"
"If you have any questions, or need the bot to ignore the links, or the page altogether, please visit this simple FaQ for additional information.","('sd',)"
The latin script is not an alphabet.,"('sd',)"
A script is a set of graphs with no phonological content.,"('sd',)"
The same set of graphs (i.e.,()
script) can be used in several writing system.,"('sd',)"
"As far as I know this term has always been used in a geo-strategic evaluation of Russia/the USSR, but any indication of this has been deleted from the article.","('sd',)"
"As noted in a previous version of the article, Russia/the USSR has always had ice-free ports, but in popular analysis a warm water port has always been a goal of their policy.","('sd',)"
"Sorry people, I kinda screwed up the movie caption while trying to move this thing back.","('fa',)"
And dunno how to fix it.,"('sd',)"
"If someone can do that or knows how and can tell me, that'd be great.","('sv',)"
He retired from the lead of the Hungarian GP due to a broken driveshaft.,"('sd',)"
"His team mate had a similar failure 8 GP before, which shows the differences in suspension geometry between both McLaren's as the torsional forces are carried out in different manner.","('sd',)"
I came here looking for some clarity on the different names by which these concepts are reffered to.,"('sd',)"
"The following would be a good addition : Value Parameter == ByValue == Formal Parameter Reference Parameter == ByReference == Actual Parameter These are already in the article, but for sake of clarity, a summary would be interesting.",()
"Symptoms, transmission, diagnosis, treatment, all the information in most sections is about human.","('sd',)"
That sentence is to direct readers to the animal article.,"('sd',)"
"If this is about both, and there is a separate article about AAT, there should be a separate article about HAT, but even the disambiguation page, gives this as the human article and the other as the animal.","('sv',)"
"What this page does not care to explain is the very fact that Alger Hiss, famous for being a convicted russian spy, was the very first secretary general.","('sd',)"
He also wrote the charter for the UN.,"('sd',)"
there was another SG that was a fmr SA member and alleged neo-nazi Alger Hiss was never Secretary-General of the UN.,"('sd',)"
"Yes, all this means is that there are now CAS numbers that look like 1XXXXXXX-XX-X.","('sd',)"
I have already run across a few.,"('sd',)"
Thanks for your recent edits Ring Cinema.,"('fc',)"
The business about 'riding roughshod' was my translation from de/Wiki around the middle of December; I see that this has since been changed.,"('sd',)"
"The expression was used in the US corporate media The expression satellite state is now used by historians, journalists and common people all over the world.",()
"For example, it is also used in Poland.","('sd',)"
"The suggestion that the usage of that expression was restricted to the US corporate media is misleading and, frankly, sounds somewhat paranoiac.","('sv',)"
"The prince thus became the first member of the Imperial House of Japan to receive his education at a school other than Gakushūin Primary School The page Imperial House of Japan lists people who married into the family, including the Empress Michiko, the Crown Princess Masako.","('sd',)"
Neither of these women attended Gakushin.,"('sd',)"
"I'm not sure why the Popular Culture section had, as one of its subsections, The Games, instead of the much more standard Video Games (unless it was some troll doing a HURR YOU LOST THE GAME thing).","('sd',)"
"Anyway, I've changed that.","('sd',)"
"I've also added the original Guild Wars to the list of games, as simply listing gw2 would imply that the Norn were not present in gw1.","('sd',)"
In the timeline the point under 1970s about FET OPs is a bit confusing and vague.,"('sv',)"
The early FET OPs were JFET based as hybrids - so seprate chips for the JFETs at the input and the main part.,"('sd',)"
Later came JFET based monolytic OPs and also CMOS based monolytic OPs.,"('sd',)"
"You make it very clear that you have the belief that you are guaranteed to have exactly half the original quantity left after one half-life, and that it cannot happen that all of it has decayed or none of it has decayed after one half-life.","('sd',)"
"If this belief were true, then you would be correct that there would have to be some mystical and supernatural explanation.","('sv',)"
What would be the appropriate section to add the notable Japanese film actors who are participating in this video game.,()
many of these actors have extensive resumes and some awards.,"('sd',)"
Should we extend the Gameplay mention of Takuya Kimura to add supporting roles?,"('qy',)"
"hi, I don't think that the number of pieces of shrapnel is relevant to the point of the entry, which is that Army Lt. Walter Boadway wrote about Hemingway in a personal letter to his wife.",()
We can't have any way of knowing how accurate Lt. Broadway's information was at the time he conveyed it to his wife and we don't know even if Lt. Broadway got this information directly from EH.,"('sd',)"
"In 1377 a revolt broke out in Syria which spread to Egypt, and the government was taken over by the Circassians Barakah and Barquq (section Change in regime).","('sd',)"
Could anybody clarify who's that Barakah?,"('qy',)"
"Certainly, he is not sultan (not Al-Said Barakah, of course).","('sv',)"
Who ever said I was a Shimizu S-Pulse fan!?,"('qw',)"
You've fallen into the trap of thinking that this is somehow motivated by football allegiances.,"('sv',)"
Was the third version really performed in the presence of the PM?,"('qy',)"
It's something you see doing the email rounds and stuff like that saying that it was the original version of the song (something the article confusingly says too) and how we've forgotten god and stuff like that.,()
And what does it mean the song is is only authorised for use on religious occassions.,()
"I read this week (I'm not sure where, but I think it was on Wiki) that McDD made the number 500 offcial when they renamed in the MD 500.","('sd',)"
"As far as the type certificate goes, though, I would surmise they continued to use the 369's so as not to have to go trough a new certification process, or because the FAA deemed a new certificate unnecessary for a minimum-change variant.",()
Just wondering how this name is pronounced.,"('qw^d',)"
"If he was from Spain, which speaks spanish, wouldn't the J in the middle of the name make the H sound?","('qy',)"
So it would sound like the last name Trahan?,"('qy^d',)"
"Why does the topic of energy savings in electric motors, which clearly belongs in this article, require a separate article, which will entail a lot of redundant explanation, and make it more difficult for readers to find?","('qo', 'qw')"
One more section in this article will not increase its size much.,"('sd',)"
"Nicely said, since often skepticism, atheism, ignorant fervent wishfulness and religious fervor are the same beast of mind regardless of the vocabulary involved.","('sv',)"
"I think global Basic Logic lessons might suffice to wipe out blind faith in endless, pure skepticism without reason, at the intelligence level of slime.","('sv',)"
Maybe... see Wikipedia: Abundance_and_redundancy.,"('sd',)"
"The two articles would be circular references, of course.","('sd',)"
"Similar notes appear on his talk page and on Talk: Definition of planet and Talk: 2006 redefinition of planet I'm getting rid of the recent original research, as well as the current tag.","('sd',)"
I thank you for your participation.,"('fc',)"
"But, I do not understand why You deleted a very important source, and perhaps the most reliable of all.","('sd',)"
"The fact that now the article is misleading, arguing that anal sex is not as common as other sexual practices in MSM.","('sd',)"
What is the procedure for determining if someone has Chlamydia?,"('qw',)"
Is it a standard blood test?,"('qy',)"
"In the U.S., I would say most physicians diagnose it based on signs & symptoms (but co-infection with gonorrhea must be suspected).","('sv',)"
The original version of Theme Hospital had the green gross.,"('sd',)"
Later versions had the green six sided asterisk.,"('sd',)"
The later version was updated to include the latest patch and therefore had network play enabled by default.,"('sd',)"
I've removed a line that someone added some of this info comes from websites with false information which does not back up its claims.,()
In the future if you'd like to fix the inaccuracies of this article please include references so we know what's wrong and why you changed them.,"('ad',)"
There's a scene about 10 minutes into the film in which Garry & Wade's experiment on false memories  is described anecdotally.,"('sd',)"
"This tale of a childhood hot-air balloon ride that never happened is a staple of psych courses today, so it's odd that I can find nothing about either researcher or the experiment itself on the wiki.","('sd',)"
The 2004 documentary Death in the Bunker: The True Story of Hitler's Downfall shows the dental remains in their modern state.,"('sd',)"
"The lower teeth are attached to small bits of jawbone, which seem to visually correspond to the teeth in the Soviet forensic photographs.","('sd',)"
i checked the pdf and on the bottom of page 19 it states: Zum Unternehmen DB gehören insgesamt 525 Gesellschaften (Stand 2007).,"('sd',)"
which translates literally as: to the firm DB belong totally 525 companies (as of 2007).,"('sd',)"
so i guess the phrase in the article checks out..,"('sv',)"
"This is not a POV issue, and it's offensive to say that it is.","('sv',)"
"This is utter trivia, and does not belong in this article.","('sd',)"
Maybe - MAYBE - it deserves mention in the UMass Dartmouth article.,"('sv',)"
In the aritcle it says: This colourless liquid is the simplest organic nitrile.,"('sd',)"
Acetonitrile is NOT the simplest organic nitrile.,"('sv',)"
I tried a re-write on the enjoyably archaic History of the Olive section but it is entirely speculative and already covered by the preceeding paras (e.g.,"('sd',)"
geographical origins already indentified in the first para).,"('+',)"
So I expanded the intial section slightly and removed the remote period of human progress.. etc.,"('sd',)"
"Here's an article about Nico Nico Douga's role in Japan's new media:  On that note, I find the current version of the article terribly outdated (there is no mention of Nico Nico Live, even) As I am busy on other projects, can someone update the article, or at least incorporate the above source?","('qy',)"
"Aditionally its worth to comment that the policy that applies to this case is Wikipedia: Naming conventions (settlements) and not Wikipedia: Naming conventions (common names), that obviously refers to something else (proper names like George W. Bush and common names such as guinea pig.","('sv',)"
I feel that it would be appropriate to put a comparison box in here somewhere on ParaGard vs. Mirena/Skyla.,()
"A lot of people making contraceptive decisions are looking for that comparison, and the article split makes it harder to make that comparison.","('sv',)"
Any opposition to me putting one together?,"('qy',)"
"I know, we live in the age of television and film.","('sd',)"
"In former times, long long ago, people read books, magazines, and newspapers.","('sd',)"
In Yagoda's About Town (p.,"('sd',)"
I made a few edits in the intro when I noticed that TWO distinct definitions were given.,"('sd',)"
I ultimately saw that these two definitions were intricately muddled throughout the article.,"('sd',)"
"Unless I have some big misunderstandings, a singularity is not the same as a black hole.","('sv',)"
I thought there really needed to be a history section on this page.,"('sd',)"
I created one and put a few tidbits there but it's only the beginning.,"('sd',)"
I would be very grateful if anyone could contribute enough material to weave together a coherent narrative.,"('sd',)"
"The following sentence is incoherent: Since the Japanese population census asks the people's nationality rather than their ethnic background, naturalized Japanese citizens and Japanese nationals with multi-ethnic background are considered to be ethnically Japanese in the population census of Japan.","('sd',)"
yep nancy held the knife with bedsheets so﻿ no fingerprints appeared.,"('aa',)"
"After reading the police report myself, it looks like he decked her and she fell on the knife.","('sd',)"
She prob wanted drugs or was trying to get a fix.,"('sd',)"
The spelling of names in this article is very inconsistent.,"('sd',)"
"For example, Gain, is also spelled Ga-in and GaIn.","('sd',)"
I prefer not to use the hyphenated style as it is not her official stage name.,"('sd',)"
"My reading of the Historical Reputation section, as it is now, is that it is written in a neutral tone, and that it adequately represents the evolution of historical judgment from the Dunning school days until today.","('sd',)"
"It does not support racist ideology, but largely adheres to Wikipedia's high standards.","('sv',)"
You have played a role in this.,"('sv',)"
I will explain why I believe it is inappropriate to characterize Moore's statement as a conspiracy theory: The term implies that the appeal to a conspiracy is based on prejudice or insufficient evidence.,"('sd',)"
"The president is known for making false statements, for pressuring his physicians to make false statements about his condition, etc.","('sd',)"
A guitar that does not get the exposure it should is the Telecaster.,"('sd',)"
That was Erics main huggning and recording guitar in Yardbirds.,"('sd',)"
That was a borrowed guitar he played for 18 months.,"('sd',)"
Added the line Particular attention is given to the Dutch polder model as a way how a society can resolve its challenges.,"('sv',)"
"My earlier entry was rejected with the criticism that it was a POV, which it wasn't, but perhaps this is acceptable.","('sd',)"
"Diamond's reference to the polder model is a key part of the book, perhaps we can agree to that.","('sv',)"
"I am not sure how much of a distinction it makes sense to make between prenatal care and preconception care, and whether it makes sense to have separate articles on preconception counseling vs. preconception care.",()
"Most people do not know exactly when a given pregnancy starts, so preconception care might more aptly be care before the pregnancy is diagnosed?","('qy^d',)"
I believe that the request for the article Encephalitis endoplasmic reticulum was accidently suggested from a missunderstanding of Japanese encephalitis (which is known to affect the endoplasmic reticulum).,"('sd',)"
Would someone be bold enough to add in this information in this article.,"('qh',)"
Could someone go through the article of Ad Neeleman?,"('qy',)"
I came across it referencing unreferenced BLPs.,"('sd',)"
the article states that Neeleman is part 'of the tradition of generative grammar' (but I couldn't find him here).,"('sd',)"
Secondary sources establishing notability and extra information however would be welcome.,"('sv',)"
Please review the following to get a better idea of what you should add to this article: Please follow the Wikipedia U.S. COUNTY guideline for layout and content.,"('sd',)"
Please ensure a person meets Wikipedia Notability requirements before adding to the Notable People section.,"('ad',)"
"When boiling occurs, the more energetic molecules change to a gas, spread out, and form bubbles.","('sd',)"
These rise to the surface and enter the atmosphere.,"('sd',)"
It requires energy to change from a liquid to a gas (see enthalpy of vaporization).,"('sd',)"
I think this section is definitely improving as its been subjected to heavy editing.,"('sv',)"
"In regards to the crop reference in the second paragraph (as an example of Heidegger's modes of being), I suggest that we instead consider using the example he himself used in Being and Time - that of the doorknob.","('sd',)"
Then my discussion about the confusion between idea and concept is valueless.,"('sd',)"
"Any word can be used to mean anything, as long as it accords with everyday English usage.","('sv',)"
Any two terms can be interchanged without too much regard for a distinction between the terms.,"('sv',)"
"It looks to me like the local maxima of the Chebyshev polynomials of the first kind all have value 1, and the local minima all have value -1.","('sd',)"
"If so (I don't know enough to say whether it is actually true), then this is an interesting property that should be mentioned somewhere on the page.","('sv',)"
"I see some of your points but, at the same time, you are the polar opposite, painting the Urawa Reds in a negative light.","('aa',)"
The trophy winning years have certainly not seen our average gates swell.,"('sd',)"
"Since the construction of Saitama Stadium in 2002 - pre trophy years - Urawa have regularly been attracting crowds in excess of 50,000.","('sd',)"
I agree with you in principle.,"('aa',)"
I am just trying to clean up what has become a very expanded unreferenced mess.,"('sd',)"
As I move through I am knocking them off.,"('sd',)"
"Gender ratios in the bay area for some demographics exceed 3: 1, male to female, giving rise to the term Man Jose in reference to abundance of men in tech and Silicon Valley compared to women.","('sd',)"
Why was Cityscape section subsumed under economy?,"('qw',)"
"I'm wondering if this was a mistake, but I noticed that the former cityscape section was merged into the Economy section during what looks otherwise like a clean-up edit in November 2019.","('sd',)"
Was there a reason for this?,"('qy',)"
"This full exposition has mostly only confused me; I find it helps to have only one point discussed at a time, and stick to points that have a direct, immediate effect on improving the article.","('sv',)"
Yet I've picked out a few points of interest that I think I understood.,"('sd',)"
Robespierre is selectively and quite unfairly quoted on the Terror.,()
"The article puts these words in his mouth, Terror is only justice that is prompt, severe and inflexible.","('sv',)"
Note - there is an ongoing discussion about the proper name order for Japanese names in western publications on Talk: List_of_Japanese_authors.,"('sd',)"
This discussion uses Kenzaburo Oe as a reference.,"('sd',)"
Someone who knows how (I don't) should change the linked reference to mongol compound bows.,"('sd',)"
The Mongols did not have compound bows.,"('sd',)"
Those are a late 20th century invention.,"('sd',)"
There is a need to clear up conflicting accounts of the start of the war in the Boshin War and Tokugawa Yoshinobu articles.,"('sv',)"
"The Boshin War article states three times that Yoshinobu planned to attack or seize the emperor's court at Kyoto, and that his forces attacked the forces of Chōshū and Satsuma.","('sd',)"
Phenomenon Misdirect Buddhism uses phenomenon in a particular sense.,"('sv',)"
"However, this article references a Wikipedia article on phenomenon, which describes only this word as it is used in Western Philosophy and offers no explanation for the use in Buddhist context.","('sd',)"
I suggest that either the link here be deleted or the WP article expanded to explain what the term means in Buddhism.,"('ad',)"
He's the recent leader of a political party with no political power or experience in any level of government for the one country where it kind of matters.,"('sd',)"
"Granted, he has a Wikipedia article that explains he's technically more notable than that, but even if we made exceptions to our self-publishing policy for notable people (which we never have), imagine the horror.","('sd',)"
There is no mention of how many vehicles an armored platoon consists of (seems to be a common problem with the military organization themed articles on Wikipedia).,"('sd',)"
"Anyway, I always understood a platoon to be about four tanks.","('sd',)"
I'm not sure if this is universally true or varied from country to country.,"('sd',)"
Only some games uses WinCE in Dreamcast.,"('sd',)"
You may see Powered by Windows CE at Produced or under license of Sega.,"('sd',)"
"You're correct, RobLinwood.","('aa',)"
This claim is made at the end of the 1999 to present: Neoclassicist Bowie section of the David Bowie article.,"('sd',)"
"A casual reader of this article would get the idea that the history that’s generally taught in schools in Japan today is distorted, and whitewashes Japanese actions in WWII, and so on.","('sv',)"
You have to read quite carefully to find that the current history book that causes controversy is used by only 0.039% of junior high schools.,"('sd',)"
"I would agree, a variation of itheg (something my friends and I learned from Sweet Valley Junior High books, but much more widespread than that - it's on wiki!)","('aa',)"
or Pig Latin.,"('+',)"
"As such, it is not really Argot or some sort of secret language but more of just a code.","('sd',)"
These words do not intrinsically have their own meaning but rely on the removal of the code to find the original meaning.,"('sv',)"
"Sorry to tell you folks, but this article is atrociously bad.","('sv',)"
Do you think definitions like the potential difference across a conductor when a current of one ampere dissipates one watt of power are of any help to somebody trying to understand electrical fundamentals or basic concepts?,"('qy',)"
Not sure what you mean by change in tone.,"('qy^d',)"
I didn't intend any tone.,"('sd',)"
Is there an axiomatization for clarifying such a thing?,()
Anyone got any thoughts about adding some stuff about the so-called Sokal Squared hoax?,"('qy',)"
"Frankly I find the attacks on critique by that crowd to be less than convincing, but they did attract a lot of media attention, and in the minds of many now critical theory is most closely associated with the caricature versions of queer theory etc.","('sv',)"
that they created/lampooned.,"('+',)"
"Do the subtitles date from the original version, or were they added later?","('qy',)"
"In that case, are you sure they're not conjectures by the people doing the subtitles?","('qy',)"
"That's fairly common, I gather.","('qy^d',)"
"Ah, fors e lui, La traviata, 1907 File: Verdi - Melba - Ah, fors e lui (Violetta, La Traviata) - 1907.oggSempre libera, La traviata, 1904 File: Verdi - Melba - Sempre libera (La Traviata) - 1904.ogg There are two files with voice of Nellie Melba.","('sd',)"
Because This is the English Wikipedia and the change is a positive one grounded in policy (which I'm surprised even needs to be pointed out to you).,"('sv',)"
Metres for expressing human height are an oddity in the English speaking world.,()
If I went to the German Wikipedia to try and change it you'd have the ghost of a point.,"('sd',)"
Regarding the above renaming...,()
I has been brought to my attention that I should have moved rather than copied and pasted this article to accomplish the renaming.,"('sd',)"
"Initially, I tried to Move this page but since there was already a page at the new name (a redirect), I couldn't.","('sd',)"
The word few has no definate numerical value.,"('sd',)"
It is used for comparison (eg Bob had fewer apples that Tom).,"('sd',)"
Suggest removing few refers to three or four objects.,()
FFK have fanatic fans and the offisial supporter Clubs name is Plankehaugen.,"('sd',)"
The Supporter Club field up more than 100 busses with fans to Cupfinale in 2006.,"('sd',)"
"The club have a group of violent hooligans, Brigade Rød Hvit (Brigade Red White).","('sd',)"
"Certainly replace the Class 153 image with a class far more suitable and modern, e.g.","('sv',)"
a Class 390.,"('+',)"
There are only 70 units of Class 153 operating in the whole of the UK anyway.,"('sd',)"
"Hello fellow Wikipedians, I have just added archive links to on Peter Capaldi.","('fp', 'sd')"
Please take a moment to review my edit.,"('ad',)"
"If necessary, add after the link to keep me from modifying it.","('sd',)"
A recent article describes a mechanism by which environmental changes cause an organism (yeast in this case) to its DNA.,"('sd',)"
: ... we directly demonstrate that Copy Number Variation of the copper-resistance gene CUP1 is stimulated by environmental copper..,"('sd',)"
This article doesn't mention Lamarckism and this Wikipedia article doesn't mention copy number variation.,"('sd',)"
I am glad too see the prompt feedback and very constructive critique raised.,"('sd',)"
"I agree with the above suggestions, certainly, and I am mostly responsible for the materials science twist given to the article.","('sd',)"
My background is chemical engineering and research in solid state hydrogen storage partly with respect to LiAlH4.,"('sd',)"
"I see, Amakuru, you've changed the article and said it's now consensus on the talk page when the only thing that's changed is comments from the two of us and nothing has been agreed.","('sd',)"
Logic there defies belief.,"('sv',)"
I can't be bothered to keep changing it.,"('sd',)"
"Answer- Objects burn/melt(change state) because the energy being transported by means of conduction qk, convection qc, or radiation G contains too much energy for that substance to be absorbed over that given time frame; so dE/dt, is too great for the substance trying to continue the transport.","('sv',)"
"Again, it is the conclusion that is poor, not the evidence.","('sv',)"
"If the evidence were poor, it would be false data.","('sv',)"
: Since when is it a fallacy to reference a relevant authority?,"('qw',)"
"Having just watched the subtitled version of the film (as well as understanding the non-scientific Japanese dialogue), there seem to be some errors in the plot summary here, and quite a bit of omission of the characters themselves.","('sv',)"
"The island is Ohto, not Odo, and the lone survivor is from a house that collapses, not from the entire island.","('sd',)"
"His name is Shinkichi, not Shinjuku.","('sd',)"
