Sentence,Translated Sentence,dialog_acts
すみません、体調がかなりまずい状態であらすじの突貫工事をしたので、さらに体調が悪化してしまいまして、しばらくこちらのほうはできません。,"I'm sorry, I was in a very bad state and had to do the rush work for the outline, so my health has gotten even worse, so I won't be able to do this for a while.","('sd',)"
「ルルーシュ・ヴィ・ブリタニア」への改名を提案します。,"I propose a name change to ""Lelouch vi Britannia"".","('sd',)"
理由は、今回の放送で、ルルーシュがブリタニア皇帝になったためです。,The reason is that Lelouch became the emperor of Britannia in this broadcast.,"('sv',)"
現在、テレビアニメ「鬼平」の声の出演において、１話のみ出演の人物まで記載され、冗長な状態となっております。,"Currently, in the appearance of the voice of the TV anime ""Onihei"", the person who appeared in only one episode is listed, which is redundant.","('sd',)"
このまま話数が進んでいけば、さらに長大となり、収拾のつかない状態になってしまいます。,"If the number of episodes continues like this, it will become even longer and become unmanageable.","('sv',)"
もし「斜格の本義は変化形をとること」が妥当であれば、以下のような定義が例として考えられます。,"If ""the true meaning of the oblique case is to take the inflectional form"" is appropriate, then the following definition can be considered as an example.","('sv',)"
斜格（しゃかく、、）は、名詞・代名詞・形容詞のいずれかが格変化する言語において、有標形をとりうる格。,"The oblique case (shakaku,,) is a case that can take a marked form in languages ​​where any of nouns, pronouns, and adjectives inflects.","('sd',)"
ウィキペディアはより尤もらしいものを選ぶために検証可能性を掲げています。,Wikipedia uses verifiability to pick the more plausible.,"('sv',)"
もっともらしくかつわかりやすくするためにみなさんが協力している場です。,It's a place where everyone works together to make it plausible and understandable.,"('sv',)"
事実に反しない範囲で推敲を加えました。,I have added elaboration to the extent that it does not contradict the facts.,"('sd',)"
記事で「18日までに」とあったものを「2012年9月18日」として記述されていた部分については、望月研究室の更新情報を基に2012年8月30日に改めました。,"In the article, ""By the 18th"" was described as ""September 18th, 2012"", but I changed it to August 30th, 2012 based on the updated information from Mochizuki Lab.","('sd',)"
何度も申し上げるようですが、先立った議論がございますのでそちらをご熟読ください。,"As I have said many times, there is a preliminary discussion, so please read it carefully.",()
そちらで合意形成された事項に異議を唱えるのは結構ですが、ここはその議論に適切な場ではありません。,"It's fine to challenge the things that are agreed upon, but this is not the right place for that discussion.","('sv',)"
さん及びさんの編集について。,About the editing of san and san.,"('sd',)"
行った編集で、2011年7月28日発表タイトルと、そうでないタイトルがわからなくなる問題がありました。,"In the editing I did, there was a problem that I could not distinguish between the titles announced on July 28, 2011 and the titles that were not.","('sd',)"
なっていないと思います。,I don't think so.,()
多重氏がブロック覚悟で生み出した編集を残してはならないと考えてのものですので、ソックパペットの投稿数稼ぎにも例外を作らないでいるつもりでいるだけです。,"I believe that Mr. Shigetake's edits created with the intention of blocking should not be left, so I'm just trying to make no exceptions for the number of sockpuppet posts.","('sd',)"
中立型の例として中国語が挙げられていますが、これは適切なのでしょうか。,"Chinese is given as an example of a neutral type, is this appropriate?","('qy',)"
確かに中国語は形態的に格を明示しませんが、語順を以て各表示の機能を仮託させています。,"It is true that Chinese morphologically does not specify the case, but the word order imposes the function of each indication.","('aa',)"
（以下議論用のアカウントを使用）上のほうの書き込みに気づいてませんでした。,(I used an account for discussion below) I didn't notice the writing above.,"('sd',)"
短編と長編の鉤括弧の区別は文芸評論などでもよく見かけます。,The distinction between short and long stories in square brackets is often seen in literary criticism.,"('sd',)"
マス・ムーブメントは、Wikipedia:削除依頼/グレコ・ロマン様式に基づき2009年に削除されています。,Mass Movement was deleted in 2009 based on Wikipedia:Deletion Request/Greco-Roman Style.,"('sd',)"
その後2019年になり私がマスムーブメントへのリダイレクトとして再作成しました。,Then in 2019 I recreated it as a redirect to Mass Movement.,"('sd',)"
現状のままの記述ならば削除すべきとの意見を表明します。,"I express my opinion that if the description is as it is, it should be deleted.","('sd',)"
私は素人ですが、次のように理解しています。,"I'm a layman, but here's my understanding:","('sd',)"
思考実験として、胴元の財産が無限と考えるならば、プレイヤーの財産も無限とするべきだろう。,"As a thought experiment, if the owner's wealth is infinite, then the player's wealth should be infinite as well.","('sv',)"
もういっそのこと、オートノミーとは、というウィキペディアのページを作ってしまおうかな。,"Better yet, let's create a Wikipedia page called Autonomy.","('sd',)"
。,.,"('x',)"
。,.,"('x',)"
変に詳しくなってしまった。,I've become strangely knowledgeable.,"('sd',)"
御教示有難うございます。,Thank you for your instruction.,"('ft',)"
私は必要だと考えています。,i think i need it.,"('sv',)"
ドイツに対する連合国の戦争犯罪は殆ど知られてません。,Allied war crimes against Germany are largely unknown.,"('sd',)"
言葉尻を捉えたような反論はやめていただけないでしょうか。,Could you please stop your counterargument that seems to have captured the bottom of the word?,"('qy',)"
もう一度先に示したリンク先をお読み下さい。,Please read the link above again.,()
YLさん、はじめまして。,"Nice to meet you, YL.","('fc',)"
現在の導入部の執筆に関わった者ではありませんが、導入部の書き直しには賛成です。,"I am not involved in writing the current introduction, but I am in favor of rewriting the introduction.","('sd',)"
“自由がない”と批判する中華人民共和国の「国旗法」に規定が存在する[102]。,"There is a provision in the People's Republic of China's ""Flag Law"" that criticizes it as ""no freedom"".[102]",()
」が追加されています。,” has been added.,"('+',)"
複数の画像がある中で、適切なものを絞るならば、どうしても主観が入ってしまいます。,"Among the multiple images, if you narrow down the appropriate one, subjectivity will inevitably enter.","('sv',)"
画像をアップロードした方は、自らの撮影した写真をトップに載せたいでしょう。,Image uploaders will want their own photo to appear at the top.,"('sd',)"
>カーソルをリンクのところにもっていくだけで、リンク先の情報はちゃんと表示されますよね。,> Just move the cursor to the link and the information of the link destination will be displayed properly.,"('t3',)"
これが返答を要求した質問なのかは判断に迷うところですが、一応お答えしておきましょう。,"I'm not sure if this is the question that asked for an answer, but I'll give it anyway.","('sd',)"
「参照方法」のほうは、参考図書の節の上にあったほうが良いと思うので移しました。,"I moved ""How to reference"" because I think it would be better to put it above the reference book section.","('sd',)"
それから「情報源～」についてですが、これは主に私の至らない部分で…面目ない。,"And about the ""source of information"", this is mainly my lack of skill... I'm sorry.","('sd',)"
特別な事情がなければWikipedia:記事名の付け方「括弧内を短く保つことは必要」により、「xxxx年のアニメ」の方がいいと思います。,"If there are no special circumstances, I think that ""anime in xxxx"" is better according to Wikipedia: How to name articles ""It is necessary to keep the brackets short"".",()
どちらかが多数派ということはありません。,There is no such thing as a majority.,"('sd',)"
ターゲットマンや、ポストプレーヤーの代名詞が高木琢也であったとプレースタイルにありますが出典をどなたか示して下さい。,"The target man and the pronoun of the post player are Takuya Takagi in the playing style, but please indicate the source.","('sd',)"
（コメント）上記は一旦差し戻しました。,(Comment) The above was temporarily remanded.,"('t3',)"
「ネットテレビ」はこの項目へリダイレクトされている一方、「NETテレビ」はテレビ朝日の旧名称としてリダイレクトされています。,"""Net TV"" redirects to this item, while ""NET TV"" redirects to the former name of TV Asahi.","('sd',)"
線路配置図も書いてみました。,I also made a wiring diagram.,"('sd',)"
2は、Kyubeさんが指摘される「多摩川線への分岐が逆向き」の表現です。,2 is the expression that Kyube points out that the branch to the Tamagawa Line is in the opposite direction.,"('+',)"
（コメント）削除依頼からきました。,(Comment) I came from a deletion request.,"('t3',)"
シングルやアルバムで量が多くなるのであれば一覧を作ってそこにすべてまとめるのがよいと思います。,"If you have a lot of singles or albums, I think it's better to make a list and put it all together.","('sv',)"
章を作る事で飛ぶ事もできますから。,Because you can fly by creating chapters.,"('sv',)"
圧倒的認識さん、Dalaibaaturさん、返信ありがとうございます。,"Overwhelming recognition, Dalaibaatur, thank you for your reply.","('ft',)"
長くなりましたが、最終的にこの記事構成の論点整理でまとまった現時点での合意形成を下記に簡潔にまとめます。,"Although it has become long, the following is a concise summary of the consensus building at the present time that was finally organized by organizing the points of discussion in this article structure.","('sd',)"
Tamago915さん、了解しました。,"Dear Tamago915, Understood.","('sd',)"
「代表」の表記についての私の考えとしての結論は保留とさせていただきます。,"I will reserve the conclusion as my opinion about the notation of ""representative"".","('sd',)"
全日本スキー連盟ではコンバインド、全日本スキー連盟傘下の団体や競技会もコンバインドを大会名称とするケースがあります。,"Combined is the name of the All Japan Ski Federation, and some groups and competitions under the All Japan Ski Federation also use the name of the event.","('sd',)"
一方で日本オリンピック委員会では基本的にノルディック複合です。,"On the other hand, the Japanese Olympic Committee basically uses Nordic combined.","('sv',)"
この項目は一度削除されています。,This item has been deleted.,()
ふしぎの木の実/削除をご参照ください。,See Mysterious Nuts/Delete.,"('sd',)"
他言語版へのリンクが追加および編集できません。,Links to other language versions cannot be added or edited.,"('sd',)"
「舞台設定、装置」について私も節ごと削除が望ましいと思っています。,"Regarding ""stage setting, equipment"", I also think that it is desirable to delete each section.","('sv',)"
作品の意匠にまで踏み込む必要を感じません。,I don't feel the need to step into the design of the work.,"('sd',)"
修正・統一に協力して頂ける方がいらっしゃれないか。,Is there anyone who can help me with correction and unification?,()
こんばんは。,Good evening.,"('fp',)"
すいません、語弊がありました。,"I'm sorry, I misunderstood.","('fa',)"
別に氏の示した書籍が使えないってわけじゃなくて、私の手元に詳細が載った資料が無いので私では加筆できないってことです。,"It's not that I can't use the book he pointed out, it's just that I can't add it because I don't have the detailed materials at hand.","('sd',)"
これについては承知しました。,I know about this.,"('sd',)"
ただ、今後、編集の説明意図をノートで説明される時は、「ノートを参照」等の記入を要約欄に頂けませんでしょうか。,"However, in the future, when you explain the intention of the explanation of editing in a note, could you write ""see the note"" in the summary column?","('qy',)"
「スコーネ地方」にまとめることに賛成です。,"I am in favor of grouping them into the ""Skåne Region"".","('sd',)"
「スコーネ」は曖昧さ回避でしょうか?,"Is ""Skåne"" a disambiguation?","('qy',)"
詳細にすぎる記述や端役の除去につきましては全面的に賛成します。,I fully agree with the description that is too detailed and the removal of small parts.,"('aa',)"
ただ、細かい記述は注釈を用いて埋めればいいという考えには反対です。,"However, I am against the idea that detailed descriptions should be filled in using annotations.","('sv',)"
学術的な物であっても…。,Even if it's academic...,"('sv',)"
図で解説しているなら別に必要ではないと思うが…。,I don't think it's necessary if you explain it with a diagram...,"('sv',)"
私も「別にそんなことしなくていい」、「2001年の日本のページからでいい」という理由に疑問があります。,"I also have doubts about the reasons why ""you don't have to do that"" and ""you can start from the Japanese page in 2001"".",()
何故別にそんなことをしなくてもよくて、「2001年の日本」のページからでいいのでしょうか?,"Why don't we have to do that and start from the ""Japan in 2001"" page?","('qy',)"
皆さんに「分割」ではなく「手順」でお願いしたいことがあります。,"There is something I would like to ask you to do in ""procedure"" instead of ""division"".","('sd',)"
現在、「氷期」と「氷河時代」は「氷河期」へのリダイレクトです。,"Now ""ice ages"" and ""ice ages"" are redirects to ""ice ages"".","('sd',)"
先の提案を次のとおり修正致します。,I would like to amend my previous proposal as follows:,"('sd',)"
tableタグは使わず、{{Columns-start}}、{{Column}}、{{Columns-end}}を組み合わせて使う。,"Don't use table tags, use a combination of {{Columns-start}}, {{Column}}, and {{Columns-end}}.","('ad',)"
仕切りなおしますね。,I'll start over.,"('oo',)"
問題の洗い直しから始めましょう。,Let's start by cleaning up the problem.,"('sv',)"
(1)獣脚類のページの一部をコピペしただけというのはたしかにあまり好ましくないですね。,(1) It is certainly not very desirable to just copy and paste part of the theropod page.,()
何語かわたしは申し訳ないが知らないが、最も原語に近い発音をルシフェルと呼ぶため、ルシファーで項目を作ることがまちがっている。,"Some words I'm sorry I don't know, but it's wrong to make an entry with Lucifer because the closest pronounciation is called Lucifer.",()
正式名「ルシフェル」である。,"His full name is ""Lucifer"".","('sd',)"
語録集ではないので、ウィキクォートに投稿すべきものと思います。,"It's not a glossary, so I think it should be posted on Wikiquote.","('sd',)"
いずれにしろ出典は必要ですが。,"Either way, I need a citation.","('sd',)"
テキストについて、情報を整理しました。,Organized the information in the text.,"('sd',)"
加えて、原典併記のために末尾に注釈欄を追加しました。,"In addition, I added a comment column at the end for the reference of the original text.","('sd',)"
先に指摘した、容量の比較について。,"Regarding the comparison of capacities, which I pointed out earlier.",()
反対意見がなかったため分割いたしました。,"Since there were no objections, we split.","('sd',)"
サンシャイン劇場さんご意見ありがとうございました。,"Thank you for your feedback, Sunshine Theater.","('fc',)"
賛同いたしましたので、おっしゃる通りの題名にさせていただきました。,"I agree with you, so I named it as you said.","('aa',)"
巻末の年表（年月日入り）で「略歴」節全体の年号記載を確認しました。,"In the chronological table (with dates) at the end of the book, I confirmed the chronology of the entire ""biography"" section.","('sd',)"
