Sentence,Translated Sentence,dialog_acts
应该是“Mapbox是为Foursquare、Pinterest、Evernote等网站、《金融时报》、天气频道和优步科技提供顾客在线地图的大型供应商。,"It should read ""Mapbox is a large provider of online maps of customers for sites like Foursquare, Pinterest, Evernote, the Financial Times, The Weather Channel and Uber Technologies.","('sd',)"
爱奇艺的确有获得授权，台湾的朋友或许不了解大陆动画播放的现状。,"iQiyi has indeed been authorized, and friends in Taiwan may not understand the current status of animation broadcasting in mainland China.",()
自从2012年底至2013年以来，大陆很多未获授权的动画播放/下载网站均被版权所有方要求下架，爱奇艺可以放也就反映了它拥有授权。,"Since the end of 2012 to 2013, many unauthorized animation playback/download websites in mainland China have been requested by copyright owners to take them off the shelves, and iQiyi’s ability to post them reflects that it has authorization.","('sd',)"
每一季既然都已单独创建了条目，就无需再在本条目中把各季剧情全部堆出来。,"Since each season has created a separate entry, there is no need to pile up all the plots of each season in this entry.","('sv',)"
主演名单已经很旧了，很久没有人来更新。,"The starring list is very old, and no one has updated it for a long time.","('sd',)"
关于剧中中涉及到的那些都市传说也可以多写写。,You can also write more about the urban legends involved in the play.,"('sd',)"
但大概看了後還有幾小點：1.媒體得分模板建議挪到「發售後」。,"But after reading it, there are still a few points: 1. It is recommended to move the media scoring template to ""after the release"".","('sd',)"
2.「發售後」一段「外面風暴讓整棟建築滋滋作響的聲音」，加粗處來源似乎並沒提及。,"2. ""After the release"" section ""the sound of the whole building sizzling due to the storm outside"", the source of the bold part does not seem to be mentioned.","('sd',)"
3.未見「續作」。,"3. There is no ""continuation"".","('sd',)"
成都的城市轨道交通系统由地铁和市域铁路两部分组成，显然成都地铁=/=成都轨道交通。,"Chengdu's urban rail transit system consists of two parts: the subway and the urban railway. Obviously, Chengdu Metro =/= Chengdu Rail Transit.","('sd',)"
因此将成都地铁重定向至此是不合适的。,Therefore it is inappropriate to redirect Chengdu Metro here.,"('sd',)"
维基百科中轨道交通重定向至铁路运输。,Rail traffic in Wikipedia redirects to rail transport.,"('sd',)"
那麼這個來源的內容也算是有提到相關內容，我先前沒仔細看，抱歉。,"Then the content of this source can be regarded as mentioning relevant content. I didn’t read it carefully before, sorry.","('sd',)"
但是【海島與半島：日據臺韓文學比較】所說的「一個懷念日本生活，對日本價值觀完全表示順從的牙科醫生」就沒有提到了。,"However, the ""Island and Peninsula: A Comparison of Japanese Occupation, Taiwan and Korean Literature"" mentioned ""a dentist who misses life in Japan and is completely obedient to Japanese values"" is not mentioned.","('sd',)"
"同意此留言中蚁力神部分的留言,对于前妻问题,可以标明，但是不应有倾向性的主观表述。","I agree with the Yilishen part of this message. For the ex-wife issue, you can mark it, but there should be no tendentious subjective expressions.","('aa',)"
我会在查找资料后补充蚁力神部分内容。,I will add part of the content of Yilishen after searching for information.,"('sd',)"
请后来诸位不要随意退回前人的编辑。,Please don't return to previous editors at will.,"('ad',)"
(1)在二战时期，台湾不是独立国家，而是在日本的管辖下的领地。,"(1) During World War II, Taiwan was not an independent country, but a territory under the jurisdiction of Japan.","('sd',)"
台湾只是如同浙江一类的等级，没法和独立国家形成对等关系。,"Taiwan is just a level like Zhejiang, and cannot form an equal relationship with independent countries.","('sv',)"
敌对国是日本帝国同中华民国等同盟国间的关系。,The hostile country is the relationship between the Japanese Empire and the Republic of China and other allied countries.,"('sv',)"
阿富汗已经政权更迭，应该立刻在阿富汗条目换上新国旗。,There has been a regime change in Afghanistan and a new flag should be placed on the Afghanistan entry immediately.,()
阿富汗塔利班现在为阿富汗中央政府。,The Afghan Taliban is now the central government of Afghanistan.,"('sd',)"
已改寫成「是一種重要的室內空氣污染物」，下文有相應文獻支持。,"It has been rewritten as ""is an important indoor air pollutant"", which is supported by corresponding literature below.","('sd',)"
筆誤，已改為「相近」。,"A typo has been changed to ""similar"".","('fa',)"
基本上，「因為知識，所以我在維基；因為創意，所以我在偽基。,"Basically, ""I'm on Wiki because of knowledge, and I'm on Pseudoki because of creativity.","('sd',)"
」這就是我對偽基百科與維基百科兩者最簡潔的說法。,This is my most succinct way of saying both Pseudokipedia and Wikipedia.,"('sv',)"
話說，偽基百科還是我宣洩憤怒之地；現在，雖然還是有憤怒的存在，都不會有握拳的衝動。,"In other words, Pseudo-Kikipedia is still a place for me to vent my anger; now, although there is still anger, there is no urge to make a fist.","('sd',)"
相信“圣诞节”指耶稣诞辰从百科的角度来讲是没有疑问的。,"Believing that ""Christmas"" refers to the birth of Jesus is no doubt from an encyclopedic point of view.","('sv',)"
可以使用条目消歧义（非消歧义页）或新增段落说明这一问题。,This can be addressed using the entry disambiguation (non-disambiguation page) or adding a paragraph.,"('sd',)"
同意user的說法，維基必須以中立為基礎。,Agree with user that wikis must be based on neutrality.,"('aa',)"
這篇論文是碩士論文，質量不高，而且都是以斷言跟評論居多。,"This thesis is a master's thesis, the quality is not high, and it is mostly assertions and comments.","('sd',)"
此页内容条理很差，类似综述但高度不够，想学知识的同学还是推荐系统看书。,"The content of this page is poorly organized, similar to a review but not high enough, students who want to learn knowledge still recommend the system to read.","('sv',)"
导论中的应力定义应该是经典材料力学的形象化定义，连续介质力学中直接是张量或者矩阵的定义。,"The definition of stress in the introduction should be the visual definition of classical material mechanics, and the definition of tensor or matrix in continuum mechanics.","('sd',)"
{東京地鐵}-页面我已修改重定向至-{东京地铁}-。,{Tokyo Metro}-page I have modified to redirect to -{Tokyo Metro}-.,"('sd',)"
建议去其用户讨论页邀请上述相关页面的主要贡献者来此讨论，因本页面的监视者恐怕不多。,"It is recommended to go to its user discussion page to invite the main contributors of the above-mentioned related pages to discuss here, because there may not be many monitors on this page.","('sd',)"
和，但提供的標準有些過嚴，有的應該是FA才要標準。,"And, but the standards provided are a bit too strict, and some should be FA.","('sv',)"
中立原因是因為條目還是有許多問题，例如序言過於詳細(根據WP:LEAD)等。,"The reason for neutrality is that the article still has many problems, such as the preamble is too detailed (according to WP:LEAD), etc.","('sv',)"
希望編者不要等別人提出問題後再做改善。,I hope the editor will not wait for others to ask questions before making improvements.,"('sd',)"
我覺得你提到那兩句是可以移到生平最後一段、教育之前，比照英維做法，那倒是可行。,"I think the two sentences you mentioned can be moved to the last paragraph of your life, before education, and it is feasible to follow Yingwei's approach.","('sv',)"
只是之前張口就來什麼24私生子那樣真的太誇張，尤其原引用資料聲稱是德國媒體這麼說那更有推託之嫌。,"It’s just that it’s too exaggerated to say something like a 24-year-old illegitimate child, especially when the original quoted material claimed that it was the German media who said so, which is even more evasive.","('sv',)"
我看閣下沒有弄明白我的意思。,I don't think you understand what I mean.,"('qy^d',)"
如前所言，英文維基裡存在著許多錯誤、失當或含糊的地方。,"As mentioned earlier, there are many errors, inadequacies or ambiguities in the English wiki.",()
也建议比照多拉A梦。,It is also recommended to compare Doraemon.,"('sd',)"
大陆机器猫，香港叮当，台湾機器貓小叮噹、神奇小叮噹。,"Mainland Doraemon, Hong Kong Doraemon, Taiwan Doraemon Tinkerbell, Magical Doraemon.","('sd',)"
最终几个地方将一个东西叫不同名字。,Eventually several places call the same thing by different names.,"('sd',)"
还有另一个李登辉：复旦大学校长。,There is another Lee Teng-hui: the president of Fudan University.,"('sd',)"
李登辉对大学风气的信条是“大学之教，百家渊薮”。,"Lee Teng-hui's belief in the ethos of the university is ""the teaching of the university is the source of a hundred schools of thought"".",()
如果您這麼認為，那我真的是無話可說。,"If you think so, then I really have nothing to say.",()
幾年前開始對中文維基感到無力感就是因為老是遇到這種會讓我抓狂的回應。,"A few years ago, I started to feel powerless on the Chinese wiki because I always encountered this kind of response that would drive me crazy.","('sd',)"
我指的是月表作業一段。,I'm referring to the Lunar Operations section.,"('sd',)"
man）的「一（個）」。,"""one"" of man.","('^q',)"
不是简单用着方便的问题，也不只是源码的问题。,"It's not just a matter of convenience, nor is it just a matter of source code.","('sd',)"
我不认为这里涉及到阐述观点的问题。,I don't think there's a question of making a point here.,"('sv',)"
User1是不是在擾亂，很大程度和那名管理員是否真的有這樣的看法有關，又或者可以看看那名管理員的看法是否有能力代表維基百科。,"Whether User1 is disturbing depends largely on whether the administrator really has such a view, or whether the administrator's view is capable of representing Wikipedia.","('sd',)"
不信我就去問他啊。,"If you don't believe me, just ask him.","('ad',)"
我瞭解閣下的意思，我是希望至少條目名能統一用法。,"I understand what you mean, I hope at least the entry names can be used uniformly.","('sd',)"
並非完全抹除「散彈槍」，而是希望改以重定向的方式。,"Not to wipe out ""shotgun"" completely, but hope to change it to redirection.",()
因為這個用法已經積非成是到無可挽回的地步了，讓有人認為它是正確的用法。,"Because this usage has accumulated to the point of irreversibility, some people think it is the correct usage.","('+',)"
暂未找到此作品的官方译名。,No official translation of this work has been found yet.,"('sd',)"
”是正式译名和通用译名，“散华礼弥”是通用译名。,""" is the official translation and common translation, and ""Sanhua Limi"" is the common translation.","('^q',)"
首先感谢二位的贡献。,First of all thanks for your contributions.,"('fc', 'ft')"
关于现行的“平成天皇退位”题目，个人认为，现在来看很不妥当，因为按照日本惯例，天皇在世时的年号将是死后的谥号，“平成天皇”明显属于此种情况。,"Regarding the current title of ""Emperor Heisei's abdication"", I personally think it is inappropriate to look at it now, because according to Japanese practice, the emperor's reign name during his lifetime will be his posthumous title after death, and ""Emperor Heisei"" obviously belongs to this situation.","('sv',)"
哇，这帽子扣得真重。,"Wow, this hat is really well buttoned.","('ba',)"
该链接中，提出质疑的当事人得到了多名用户的解答，并最终以“好吧”接受了这一现实，同时也没有任何其他用户继续质疑，这就是我们所理解的“社群共识”。,"In this link, the party who raised the question was answered by multiple users, and finally accepted this reality with ""OK"", and no other user continued to question it. This is what we understand as ""community consensus"".",()
（1）但這也意味著你必須先處理朝鮮日治時期條目本身的問題，才能處理朝鮮日治時期行政區劃條目的問題。,(1) But it also means that you have to deal with the issue of the Korean Japanese rule entry itself before you can deal with the Korean Japanese rule article.,()
你不能在不處理朝鮮日治時期條目本身的問題的情況下直接處理朝鮮日治時期行政區劃條目的問題。,You can't directly address the issue of the Japanese-era Joseon administrative divisions entry without addressing the issue of the Japanese-occupied Korea article itself.,"('sv',)"
早期因为传感器价格比较贵，所以大片幅的传感器都喜欢用于制造可换镜头相机。,"In the early days, because the sensors were more expensive, large-format sensors were preferred to be used in the manufacture of interchangeable lens cameras.","('sd',)"
所以条目为135全画幅规格数码单反相机可以理解。,So the entry is understandable for 135 full frame digital SLR cameras.,()
denali這邊參考。,Denali here for reference.,"('sd',)"
—以上未簽名的留言由Mihara57（對話｜貢獻）加入。,— The above unsigned comment was added by Mihara57 (talk|contribution).,"('sd',)"
Jimenez）在早上5点多对明尼苏达州抗议行动做直播报道时，与其他2名CNN工作人员被警察逮捕。,Jimenez and two other CNN workers were arrested by police while they were reporting live on protests in Minnesota just after 5 a.m.,"('sd',)"
而同样在现场的一个白人记者却没有被捕。,A white reporter who was also at the scene was not arrested.,"('sd',)"
国家是指拥有共同的语言、文化、种族、领土、政府或者历史的社会群体。,"A nation is a social group that shares a common language, culture, race, territory, government, or history.","('sv',)"
伊斯兰国这个奸淫掳掠，烧杀抢夺，妄图恢复奴隶制，反人类反社会的群体，不能以“冠名自由”使用国家模板。,"The Islamic State, a group that rapes, loots, burns, kills, and plunders, attempts to restore slavery, and is anti-human and anti-society, cannot use the national template with ""name freedom"".","('sv',)"
「在他2014年電影《進擊的鼓手》取得成功後，作品馬上被頂峰娛樂收錄」，收錄這個詞不是這樣用的吧。,"""After the success of his 2014 movie ""Attack on the Drummer"", his work was immediately included in Summit Entertainment"", that's not how the term is used.","('^q',)"
翻譯不佳，「一年後，當《進擊的鼓手》在第87屆奧斯卡金像獎，包括最佳影片」，莫名其妙。,"Poor translation, ""A year later, when ""Attack on Drummer"" won the 87th Academy Awards, including Best Picture"", inexplicable.","('sv',)"
中文不是英文條目，無必要留下所有英文。,"Chinese is not an English entry, there is no need to leave all English.","('sv',)"
精神病（psychosis）與精神官能症（neurosis）作了一個區分。,A distinction is made between psychosis and neurosis.,"('sd',)"
目前，中国大陆的舆论都是钓鱼岛是中国的，很多媒体如新浪、腾讯也认为钓鱼岛是中国的。,"At present, public opinion in mainland China is that the Diaoyu Islands belong to China, and many media such as Sina and Tencent also believe that the Diaoyu Islands belong to China.","('sd',)"
这句话已经家喻户晓，成了人人皆知的道理。,This sentence has become a household name and a truth that everyone knows.,"('sd',)"
「國共內戰」一詞用於中共方面片面戰略宣傳。,"The term ""KMT-CPC Civil War"" is used in the CCP's one-sided strategic propaganda.","('sd',)"
我是在用后面的争议推翻前面子虚乌有的命名规则。,I am using the later controversy to overthrow the nonexistent naming rules.,"('sd',)"
不要说你这都理解不了。,Don't say you can't understand this.,"('^q',)"
這是主角柯柏(Cobb)港譯。,"This is the Hong Kong translation of the protagonist, Cobb.","('sd',)"
可能是之前的轉換問題吧。,Might be a previous conversion issue.,"('sv',)"
不過我已經重新整理好，請各位查看。,"But I have reorganized it, please check it out.","('sd',)"
正是說「姬」本身在漢英字典也只是代表「女子」、「富貴女子」或「迷人女子」，顯然不比「公主」更能傳遞Princess之意。,"It is to say that ""Ji"" itself in the Chinese-English dictionary only represents ""woman"", ""rich woman"" or ""charming woman"", which obviously does not convey the meaning of Princess better than ""princess"".","('sd',)"
另外查了查「蜜糖」後，確實是我這邊看漏了正名問題。,"In addition, after checking ""Honey"", it is true that I missed the name rectification issue.","('sd',)"
整体还行，主要是些小问题。,"Overall it's ok, mainly minor issues.","('sd',)"
“并向挪威的公共部门和组织以及限制言论自由的政权人员提供”这句英文版没有，似乎是根据挪威语的参考资料译的，但是译的不对。,"""And make it available to public authorities and organizations in Norway, as well as members of the regime that restricts freedom of speech"" is missing in the English version, it seems to be translated from a Norwegian reference, but the translation is wrong.","('^q',)"
MV拍攝地的事情…我自己是沒有什麼意見，只要是事實就可以了。,"Regarding the MV filming location... I don't have any opinion, as long as it's the facts.",()
另外，請容許我在這裡聊聊跟香港有關的東西。,"In addition, please allow me to talk about things related to Hong Kong here.","('ad',)"
似乎也有人對於「英屬香港」和「香港」的名稱問題存有意見呢。,"It seems that some people also have opinions on the issue of the names of ""British Hong Kong"" and ""Hong Kong"".","('sv',)"
暂时支持，希望改进有些地方，还应重回优良条目。,"Temporary support, I hope to improve some places, and should return to the excellent article.","('sd',)"
1、俱乐部与中国足球曾经一度盛行的“假、赌、黑”完全绝缘。,"1. The club is completely insulated from the ""fake, gambling, black"" that was once prevalent in Chinese football.","('sv',)"
李承鹏直言国安夺冠关键战假球。,Li Chengpeng bluntly said that the key to Guoan's championship is match-fixing.,"('sd',)"
中国烧酒就是中国白酒。,Chinese shochu is Chinese baijiu.,"('sd',)"
中国人习惯于称呼白酒。,Chinese people are used to calling baijiu.,"('sd',)"
韩国烧酒与中国白酒一样都是透明无色的白酒，两者是有可比性的。,"Korean soju and Chinese liquor are both transparent and colorless liquor, and the two are comparable.","('sd',)"
在条目本身的讨论页里好像没人参与讨论，故在这里开设讨论。,"There seems to be no one participating in the discussion on the talk page of the article itself, so open the discussion here.","('sv',)"
该条目的名称怪怪的，这不只是本人个人的感觉，见这篇网络上的文章。,"The name of the entry is weird, it's not just my personal feeling, see this article on the Internet.","('sd',)"
这条目挂军事冲突模板本来就不对。,It is wrong to use the template of military conflict in this article.,"('sv',)"
辛亥革命是政治及社会变迁，军事只是其中很小的一部分。,"The Revolution of 1911 was a political and social change, and the military was only a small part of it.","('sv',)"
那个模板应该挂在诸如武昌起义之类的条目内。,That template should hang in an entry like Wuchang Uprising.,"('sd',)"
该移动：“胡都木”一称语源不明，虽然在卫拉特方言中更为常用，但早已被蒙古族主体所接受。,"The move: The etymology of ""Hudumu"" is unknown. Although it is more commonly used in the Oirat dialect, it has long been accepted by the main body of the Mongolian nationality.","('sd',)"
即便是蒙古民族主义盛行、统一使用喀尔喀方言的外蒙，也都接受Hudam一称。,"Even Outer Mongolia, where Mongolian nationalism is prevalent and the Khalkha dialect is used uniformly, accepts the name Hudam.","('sd',)"
长阳站（长阳土家族自治县）：运城－三门峡－十堰－宜昌－石门铁路。,Changyang Station (Changyang Tujia Autonomous County): Yuncheng-Sanmenxia-Shiyan-Yichang-Shimen Railway.,"('sd',)"
因为蒙西至华中铁路（浩勒报吉至吉安）已经上马，线路平行、定位相同而且距离较近的可能一时半会儿造不了。,"Because the Mengxi-Central China Railway (Haole Baoji to Ji'an) has already been launched, the parallel lines, the same positioning and a relatively short distance may not be built for a while.","('sd',)"
我認為目前情況可參考Wikipedia:命名常规#命名冲突第一項第二點。,I think the current situation can refer to Wikipedia:Naming conventions#Naming conflictsThe first item and the second point.,()
先到先得原則看的是哪個名稱，不是是繁是簡。,"The first-come-first-served principle depends on the name, whether it is complicated or simplified.","('sv',)"
第一項第二點要求名稱符合名從主人與某地區常用名稱兩個條件。,The second point of the first item requires the name to meet the two conditions of the name from the owner and the common name of a certain area.,"('sd',)"
列支敦斯登是一个大公国，它的君主是大公（女大公）而不是皇帝（女皇），所以这里根本没有什么“皇家”，有的只是“王家”。,"Liechtenstein is a grand duchy, and its monarch is a grand duchess (grand duchess) rather than an emperor (queen), so there is no ""royal"" here at all, but only a ""royal family"".","('sd',)"
在本条目中我发现了“皇家、皇族”的称呼。,"In this entry I found the title ""royal, royalty"".","('sd',)"
我很像收到一份正玄和余玄表。,I would love to receive a table of sine and cosine.,"('sd',)"
因为我住在加拿大没要办发找到此表。,"Because I live in Canada, I didn't have to do it to find this form.","('sd',)"
请麻烦专家帮忙。,Ask the experts to help.,"('ad',)"
从其定义「屠杀指故意殺害大量人類的行為」来看没有太大问题。,"From its definition ""genocide refers to the deliberate killing of a large number of human beings"", there is no big problem.","('sv',)"
不过这个定义本身也有原创研究的嫌疑。,"However, this definition itself is also suspected of original research.","('sv',)"
不是說不能用解放，而是要看情況。,"It's not that you can't use liberation, but it depends on the situation.","('sv',)"
另外，如有用詞不中立的話，理應改善，而不是別人不中立，自己也一起不中立。,"In addition, if there are words that are not neutral, it should be improved, not that others are not neutral, and you are also not neutral.","('sv',)"
如果多维的内容是完整的话，应该也出现这段话。,"If the multi-dimensional content is complete, this paragraph should also appear.","('sv',)"
但是没有这段话。,But there is no such passage.,"('sd',)"
我認為這時候有兩種可能，一種就是CBS胡编乱造，杜撰了江主席的话，第二種就是多维网是随便在网上转载的杜撰内容。,"I think there are two possibilities at this time, one is that CBS made up and fabricated Chairman Jiang's words, and the other is that Duoweiwang reproduced the fabricated content casually on the Internet.","('sv',)"
何况冈村宁次41年才担任华北军司令官，本身推论就极不严谨。,"What's more, Neiji Okamura only served as the commander of the North China Army in 41 years, so his deduction is extremely imprecise.","('sv',)"
嗯，这样说也有道理。,"Well, it makes sense to say that.","('sv',)"
但东欧集团这个词条直接被引导到华沙条约组织里了，我也是被误导了。,"But the term Eastern European Group was directly led to the Warsaw Pact Organization, and I was also misled.","('sd',)"
不如改为东方集团吧。,Why not change to the Eastern Group.,"('qh',)"
除了敘述部分早期歷史文化，中華民國政府的官方公報、發言、網頁、外交活動都不會自稱中國。,"Except for describing part of the early history and culture, the official communiqués, speeches, web pages, and diplomatic activities of the ROC government will not call themselves China.","('sd',)"
「日治」也可以解釋成「日本殖民統治時期」的簡稱，如果也要中立一點也可以採用「日本時代」之類的稱呼。,"""Japanese Occupation"" can also be interpreted as an abbreviation of ""Japanese Colonial Period"". If you want to be more neutral, you can also use a title like ""Japanese Era"".","('sd',)"
個人認為不要過度拘泥在用詞上（符合維基方針即可），還是注重在完善條目上。,"Personally, I think it is better not to stick too much to the wording (just in line with the Wikipedia policy), but to focus on improving the entries.","('sv',)"
我已改為第一聲。,I have changed it to the first sound.,"('sd',)"
另施振榮先生確實是唸「宏碁（ji1）」，見宏碁數創獎施振榮談台灣贏的方向（停在1:37）。,"In addition, Mr. Shi Zhenrong did pronounce ""Acer (ji1)"", see Acer Digital Innovation Award Shi Zhenrong talks about the direction of Taiwan's victory (stop at 1:37).","('sd',)"
我認為「碁」可能是「基石」的合字，可能比較施先生早期命名的靈感。,"I think that ""燕"" may be a ligature of ""cornerstone"", and it may be more inspired by Mr. Shi's early naming.",()
目前的命名至少在大陆是没有问题的。,The current naming is no problem at least in the mainland.,"('sd',)"
由于早期从苏联翻译教材的缘故，这个历史事实一直被翻译为“收复失地运动”，各种文献都是如此。,"Due to the early translation of textbooks from the Soviet Union, this historical fact has been translated as the ""Reconquista Movement"" in various documents.","('sd',)"
測試的項目大部份都沒有被網站使用，原因是相容性低，也就是說，測試中達滿分也沒有什麼用，市場佔有率高才可以成為指標。,"Most of the items tested are not used by the website because of low compatibility. That is to say, it is useless to achieve a full score in the test, and a high market share can be used as an indicator.","('sd',)"
关于此段文字似乎有失中立态度，强加了作者的观点。,"There seems to be a lack of neutrality about this passage, imposing the author's point of view.","('sv',)"
