Sentence,Translated Sentence,dialog_acts
Entiendo que la información no solo se limita a lo humano.,I understand that the information is not only limited to the human.,()
"En la introducción, tras el paréntesis que aclara fecha y lugar de nacimiento hay una coma que no debería estar.","In the introduction, after the parenthesis that clarifies the date and place of birth, there is a comma that should not be there.","('sd',)"
No se usa coma entre sujeto y predicado.,No comma is used between subject and predicate.,"('sd',)"
"Por sus interpretaciones, ha sido acreedor de varios premios, entre ellos ser nominado en tres ocasiones al premio Óscar y ser ganador de un Globo de Oro, un premio del Sindicato de Actores y un premio César Encontrar un sinónimo para premio.","For his performances, he has been the recipient of several awards, including being nominated three times for an Oscar and winning a Golden Globe, an Actors Guild Award, and a César Award. Finding a synonym for an award.","('sd',)"
El edificio del Ise-jingu es completamente nuevo.,The Ise-jingu building is completely new.,"('sd',)"
El edificio viejo fue destruido.,The old building was destroyed.,"('sd',)"
El Kamakura Daibutsu es un trabajo anticuado.,The Kamakura Daibutsu is an outdated work.,"('sv',)"
En referencia al apartado Referencias culturales hay una referencia mas que suele pasar inadvertida.,"In reference to the Cultural references section, there is one more reference that usually goes unnoticed.","('sd',)"
se trata de la conversación que tiene el Capitan Koons con Butch cuando este es un niño.,It is about the conversation that Captain Koons has with Butch when he is a child.,"('sd',)"
Le dice que el reloj que le regala lo llevo su padre metido en el culo para que no se lo quitaran en el Vietnam.,He tells him that the watch he gave him was carried by his father up his ass so they wouldn't take it off in Vietnam.,"('sd',)"
Solo paso rapidito a avisar que subi dos imagenes al articulo.,Just a quick step to let you know that I uploaded two images to the article.,"('sd',)"
Es una lastima pero no habia mas en Commons.,It's a pity but there weren't more in Commons.,"('sv',)"
Les pido a los fans de la banda que porfavor actualizen los datos e informacion que el articulo que se quedo un poco en el tiempo.,I ask the fans of the band to please update the data and information that the article that stayed a little over time.,"('sd',)"
"Lo que hay que hacer es arreglarla, no borrarla.","What you have to do is fix it, not delete it.","('^q',)"
El concepto existe y está (en general) descrito como tal.,The concept exists and is (in general) described as such.,"('sd',)"
"Quizás en otros países se ocupe otro título, pero el concepto sigue siendo el mismo.","Perhaps in other countries another title is occupied, but the concept remains the same.","('sv',)"
"Dejando de lado la pésima redacción, el artículo es malisimo en cuanto a fuentes de información.","Leaving aside the lousy writing, the article is lousy in terms of sources of information.","('sv',)"
Básicamente está lleno de fanfic que por historia oficial.,It's basically full of fanfic than per official story.,"('sd',)"
Lo mejor que podrían hacer es traducir el artículo en ingles (sin usar un traductor en linea) que es mas confiable.,The best they could do is translate the article into English (without using an online translator) which is more reliable.,"('sv',)"
"Al final del artículo sobre la cámara Leica se comenta que fué la preferida de muchos fotógrafos, entre ellos de Robert Capa.","At the end of the article about the Leica camera, it is said that it was the favorite of many photographers, including Robert Capa.","('sd',)"
"Lo cierto es que aunque al principio Capa utilizó la Leica, rápidamente cambió a su competidora, es decir Contax.","The truth is that although at first Capa used the Leica, he quickly switched to his competitor, that is, Contax.",()
Sus imágenes de la II Guerra Mundial ya fueron tomadas con una Contax II.,His World War II images were already taken with a Contax II.,"('sd',)"
En el caso de Married... with Children se hizo así.,In the case of Married... with Children this was done.,"('sd',)"
Y allí se aludió a unas supuestas Convenciones de Títulos.,And there they alluded to some supposed Title Conventions.,"('sd',)"
También en el de American Dad.,Also in American Dad's.,"('sd',)"
"Perfecto , no hay problema amigo.","Perfect, no problem friend.","('sd',)"
"Pero aún en el artículo sigo viendo las coordenadas erroneas del sitio del accidente, se va actualizar?","But even in the article I keep seeing the wrong coordinates of the accident site, will it be updated?","('qy',)"
Porque claramente el que está publicado actualmente no corresponde a las coordenadas precisas.,Because clearly the one that is currently published does not correspond to the precise coordinates.,"('sd',)"
"Además tiene razón Manuel González Olaechea y Franco, ni siquiera es enciclópédica.","Furthermore, Manuel González Olaechea y Franco is right, it is not even encyclopedic.","('sv',)"
"Tal vez encajara en un diccionario, pero hace muchos años que se le adelantó Cela, y con más gracia.","Perhaps it would fit in a dictionary, but Cela was ahead of him many years ago, and with more grace.","('sv',)"
"Chequeá esta frase por favor: Los CBs están implicados en varios tipos distintos de funciones relacionadas con el procesamiento de ARN, específicamente en la maduración del ARN nucleolar pequeño (snoRNA) y el ARN nucleolar pequeño, y modificación del ARNm de histonas se trataba de ARN nuclear pequeño y no nucleolar.","Please check this sentence: CBs are involved in several different types of functions related to RNA processing, specifically small nucleolar RNA (snoRNA) maturation and small nucleolar RNA and histone mRNA modification. small nuclear and non-nucleolar.","('sd',)"
Estube leyendo tranquilo hasta que derrepente el idioma cambio a ingles.,I was reading quietly until suddenly the language changed to English.,"('sd',)"
Yo se ingles a medias y puedo entender lo que dice en el articulo.. pero dejemosle eso al que lo quiera leer completo en ese idioma.,I only know English halfway and I can understand what it says in the article... but let's leave that to whoever wants to read it completely in that language.,"('sv',)"
Os pido que traduscan las partes que estan en ingles.,I ask you to translate the parts that are in English.,"('sd',)"
"Continuo aquí la discusión con StormBringer acerca de la fusión, Copio todos los mensajes: Hola StormBringer, un placer saludarte.","I continue the discussion with StormBringer about the merger here, I copy all the messages: Hi StormBringer, nice to greet you.","('sd',)"
He visto tu propuesta de fusión y estoy de acuerdo con ella.,I have seen your merger proposal and I agree with it.,"('sd',)"
"Como al parecer este artículo parece una papa caliente y nadie se atreve a meterle mano para reordenar sus materias, decidí hacerlo yo, y con todo el respeto que me merece el material anterior, sustancioso, pero caótico, edité y aventuro la propuesta que sigue: que las materias de TOPONIMIA, ANTECEDENTES Y LEYENDAS estén en el lugar que les corresponde.","As apparently this article seems like a hot potato and no one dares to put their hands on it to rearrange its subjects, I decided to do it myself, and with all the respect that the previous material, substantial, but chaotic, deserves, I edited and I venture the following proposal: that the subjects of TOPONYMY, ANTECEDENTS AND LEGENDS are in the place that corresponds to them.","('sv',)"
No me parece que sin ningún fundamento permitas que se deje en la página de fascismo como de Extrema derecha cuando todas las referencias apuntan hacia una izquierda de corte socialista de dónde sacan la extrema derecha?,It doesn't seem to me that without any foundation you allow it to be left on the fascism page as extreme right when all the references point to a socialist left where do they get the extreme right?,"('qh', 'sv')"
Fue el 23 de marzo de 1919 cuando Mussolini creó los Fascios Italianos de Combate.,"It was March 23, 1919 when Mussolini created the Italian Combat Fascios.","('sd',)"
P.S.,.,"('x',)"
"Si quieres ver el documento, lo tienes en la web del Vaticano, en inglés y en italiano.","If you want to see the document, you have it on the Vatican website, in English and Italian.","('sd',)"
Estamos deacuerdo excepto en el punto 1.,We agree except for point 1.,"('aa',)"
Una doctrina que no es oficial no puede ser doctrina.,A doctrine that is not official cannot be a doctrine.,"('sv',)"
Me parece inoportuno y obsoleto esta sección.,I find this section inappropriate and obsolete.,"('sv',)"
Recordemos que esa información ya esta explicada en el articulo .,Remember that this information is already explained in the article.,"('sd',)"
"Los colores fuertes y lo largo de esa tabla es confusa, obsoleta y antiestética para el articulo.","The strong colors and the length of that table is confusing, outdated and unsightly for the article.",()
Encuentro que el artículo tiene un desarrollo incongruente como resultado de no leer lo que ya está escrito.,I find that the article has an incongruous development as a result of not reading what is already written.,"('sv',)"
"Alguien introdujo, de esta manera , una descripción , siendo que la sinonimia sólo lo es para algunos.","Someone introduced, in this way, a description, while synonymy is only for some.","('sv',)"
La descripción de los procariontes tiene que estar en al artículo correspondiente.,The description of prokaryotes has to be in the corresponding article.,"('sd',)"
Este término es totalmente correcto en la jerga médica.,This term is totally correct in medical jargon.,"('sd',)"
Me parece que tu edición ha venido motivada simplemente por tus prejuicios.,It seems to me that your edition has been motivated simply by your prejudices.,"('sv',)"
"Enfermedad rara es como se dice, y tu apreciación sobre la conveniencia del término es totalmente particular.","Rare disease is what they say, and your assessment of the appropriateness of the term is totally private.","('sd',)"
"Tal como explican las políticas de Wikipedia el apartado WP: NOES, los artículos no pueden ser un libro de recetas.","As the Wikipedia policies explain in the WP: NOES section, the articles cannot be a cookbook.","('sd',)"
"Por lo tanto, creo que los apartados 3.Receta de paella valenciana y 4.","Therefore, I think that sections 3. Valencian paella recipe and 4.","('sd',)"
Ocurre que hay dos posibles definiciones: una es como función de que a cada número real positivo le asigna el único número real positivo tal que .,It happens that there are two possible definitions: one is as a function that assigns to each positive real number the only positive real number such that .,"('sd',)"
"La otra definición es como el conjunto de soluciones de la ecuación , y es aplicable no solo a números sino a toda estructura de anillo.","The other definition is like the set of solutions of the equation , and it is applicable not only to numbers but to all ring structures.",()
de su consideración como AB.,of its consideration as AB.,"('+',)"
"Es un buen artículo, pero tiene carencias que impiden distinguirlo como AB.","It is a good article, but it has shortcomings that prevent it from being distinguished as AB.",()
"Por poner un ejemplo, toda la sección de Historia carece de referencias.","For example, the entire History section lacks references.","('sd',)"
El reproche se dirige a la introducción en la versión del día.,The reproach is directed at the introduction in the version of the day.,"('sd',)"
"La introducción ya sabe, es un resumen y deja más libertad de interpretación.","The introduction, you know, is a summary and leaves more freedom of interpretation.","('sv',)"
"Desafortunademente, muchos lectores solo se fijan en esas primeras frases.","Unfortunately, many readers only pay attention to the first few sentences.","('sv',)"
He revertido las ediciones masivas de un usuario realizadas en las últimas horas.,I have reverted a user's bulk edits made in the last few hours.,"('sd',)"
"Las ediciones se resumen en cambios de imágenes sin ninguna explicación, algunas hasta incoherentes, así como el añadido masivo de imágenes que sobrecargaban en exceso el artículo.","The editions are summarized in image changes without any explanation, some even inconsistent, as well as the massive addition of images that excessively overloaded the article.","('sd',)"
"Además entre esas modificaciones, hay amplias eliminaciones de texto sin explicación alguna.","Also among those modifications, there are extensive text deletions without any explanation.","('sd',)"
"Es cierto, parece que de 1932 a 1979 no pasó absolutamente nada en el país.","It is true, it seems that from 1932 to 1979 absolutely nothing happened in the country.","('aa',)"
"No sé para quién hablas, la wikipedia la hacemos entre todos; así que si tanto te importan esas carencias y tan increíbles te parecen los debates sobre el contenido ya sabes lo que puedes hacer.","I don't know who you're talking to, we all make Wikipedia; So if you care so much about those shortcomings and you think the debates about the content are so incredible, you know what you can do.","('sv',)"
He añadido la infobox de localidad y algunos enlaces internos.,I have added the location infobox and some internal links.,"('sd',)"
"El contenido de las secciones que hay es sufuciente para consdierarlo un AB, sin embargo, faltan algunas secciones esenciales como una de Monumentos y lugares de interés, especialmente importante tratándose de un lugar patrimonio de la humanidad.","The content of the existing sections is sufficient to consider it an AB, however, some essential sections are missing, such as one on Monuments and places of interest, especially important in the case of a world heritage site.","('sd',)"
"No, no tenemos por qué entender semejante simplificación acerca de fachadas, para empezar porque eso de los liberales economicistas de siempre no es exactamente un bloque homogéneo: esta clase de (pre)juicios sumarísimos son los que no ayudan a hacer un buen artículo enciclopédico.","No, we do not have to understand such a simplification about facades, to begin with because that of the usual liberal economists is not exactly a homogeneous block: this kind of (pre) summary judgments are the ones that do not help to make a good encyclopedic article.",()
"En el parrafo que hace referencia a la lactancia en el embarazo, deberia informar que la succión de pezón produce la liberación de oxitocina, lo que podria producir contracciones uterinas que podrian llevar a un parto prematuro.","In the paragraph referring to lactation during pregnancy, you should mention that suckling the nipple causes the release of oxytocin, which could produce uterine contractions that could lead to premature labor.","('sd',)"
Esto no es totalmente cierto.,This is not entirely true.,()
Aún se duda la autoría de Osama Bin Laden en los atentados del 11 de septiembre.,The authorship of Osama Bin Laden in the attacks of September 11 is still doubted.,"('sv',)"
¿debería ser matizado?,should it be tinted?,"('qy',)"
No veo que hay que matizarlo.,I don't see that it needs to be qualified.,"('sv',)"
En esta página se ponen las opciones generales.,On this page are the general options.,"('qy',)"
"Elimino los dos párrafos entre corchetes: [para saber cómo hacerlo puede contactarnos en privado J], me parece inapropieado en un contexto enciclopédico.","I delete the two paragraphs between square brackets: [to know how to do it you can contact us privately J], I find it inappropriate in an encyclopedic context.","('sd',)"
El comentario no fue precisamente una mujer 'feminista' no tiene mucho lugar.,The comment was not exactly a woman 'feminist' does not have much place.,"('sd',)"
Es un agregado subjetivo que no hace a los datos.,It is a subjective aggregate that does not make the data.,"('sv',)"
A eso se le suma que el feminismo va desde el extremismo más acérrimo hasta la simple lucha por los derechos de la mujer.,To this is added that feminism ranges from the most staunch extremism to the simple fight for women's rights.,"('sv',)"
"La definición inicial es tautológica: Un programador es un individuo que ejerce la programación, es decir, que escribe programas de computadora u ordenador.","The initial definition is tautological: A programmer is an individual who exercises programming, that is, who writes computer or computer programs.",()
"Es como si se definiera a un pastor como una persona que pastorea, o a un escritor como una persona que escribe.","It is as if a pastor were defined as a person who shepherds, or a writer as a person who writes.","('sv',)"
"Hoy en día está aceptado que una función y una aplicación, o transformación es lo mismo.","Today it is accepted that a function and an application, or transformation are the same.","('sd',)"
Del mismo modo que se han fusionado los artículos Función matemática y Aplicación matemática no veo motivo por el que no se deba de fusionar éste.,"In the same way that the articles Mathematical Function and Mathematical Application have been merged, I see no reason why this should not be merged.","('sv',)"
Coche sobre todo en algunos pueblos de Málaga.,Car especially in some towns in Malaga.,"('sv',)"
Tal vez es una reminiscencia de los antiguos coches de caballos.,Perhaps it is reminiscent of the old horse-drawn carriages.,()
Incluso los garajes donde se guardan por la noche les llaman cocheras.,Even the garages where they are kept at night are called carports.,"('sd',)"
"La verdad es que 100 órdenes de magnitud era una auténtica barbaridad ; ) Lo que habría que explicar o enlazar, es ¿qué es un inóculo?.",The truth is that 100 orders of magnitude was a real barbarity; ) What should be explained or linked is what is an inoculum?,()
Para los que saben de música coincidirán conmigo en que la forma escogida para explicar este artículo ha sido la menos acertada; prácticamente volvieron nebuloso algo tan sencillo como que son cinco tonos dentro de una misma octava.,Those who know about music will agree with me that the way chosen to explain this article has been the least successful; they practically made something as simple as five tones within the same octave nebulous.,"('sv',)"
"Fue una reconquista, en el sentido cultural-religioso del término, pero no del estado visigodo.","It was a reconquest, in the cultural-religious sense of the term, but not of the Visigothic state.","('sd',)"
"El reino ástur-cántabro en su origen fue meramente un movimiento de resistencia indígena de ambos pueblos, como había sido en periodos remotos la lucha contra romanos y contra los propios visigodos.","The Astur-Cantabrian kingdom in its origin was merely an indigenous resistance movement of both peoples, as had been the fight against the Romans and against the Visigoths themselves in remote periods.",()
"Si no recuerdo mal el valor es una aplicación exclusiva de los números reales, el módulo es solo para los complejos y la norma para el resto de espacios normados( de ahí su nombre ).","If I remember correctly, the value is an exclusive application of real numbers, the module is only for complex numbers and the norm for the rest of normed spaces (hence its name).","('sd',)"
No quiero modificar la página por no ser precisamente un editor experto y no quiero estropear el trabajo hecho hasta ahora metiendo la pata.,I don't want to modify the page because I'm not exactly an expert editor and I don't want to spoil the work done so far by messing up.,"('sd',)"
lo siento si me equivoco pero es la primera vez que entro a una discusión aunque leo la wiki desde hace años.,I'm sorry if I'm wrong but it's the first time I've entered a discussion although I've been reading the wiki for years.,"('sd',)"
Quiero dejar mi opinion sobre este articulo (que es totalmente negativa) y no se donde hacerlo.,I want to leave my opinion on this article (which is totally negative) and I don't know where to do it.,"('sv',)"
Creo que tony rotondas es el que lo redacto pero sea quien fuera propongo que se lo borre porque induce a muchísimos errores.,"I think Tony Rotondas is the one who wrote it, but whoever it was, I propose that you delete it because it leads to many errors.","('sd',)"
En espera por las siguientes razones: En el párrafo El 15 de diciembre de 1817 retornan al gobierno de Córdoba los partidarios (unitarios) del Directorio... el vínculo de directorio reemplazar por Director Supremo de las Provincias Unidas del Río de la Plata.,"On hold for the following reasons: In the paragraph On December 15, 1817, the supporters (unitarians) of the Directory return to the government of Córdoba... the directory link replaced by Supreme Director of the United Provinces of the Río de la Plata.","('sd',)"
Soy xeremias otra vez.,I am xeremias again.,"('sd',)"
"EStoy comparando este artículo con el de otras wikipedias y desgraciadamente he de reconocer que a mi parecer, la version española es la peor, pero con mucha diferencia, de todas las que estoy analizando.","I am comparing this article with that of other Wikipedias and unfortunately I have to admit that in my opinion, the Spanish version is the worst, but by far, of all the ones I am analyzing.","('sd',)"
"La que más me ha gustado por su método de exposición y brevedad, es la versión francesa.","The one that I liked the most for its method of exposition and brevity, is the French version.","('sd',)"
"Procedo a retirar el logo, pues ese no es el logo de IU.","I proceed to remove the logo, since that is not the UI logo.","('sd',)"
"De un tiempo a esta parte que ha puesto de moda crear logos de partidos a partir de las siglas, así porque sí (con el PP se hizo lo mismo).","For some time now, it has become fashionable to create party logos from acronyms, just like that (the same thing was done with the PP).","('sv',)"
"Los de la CDU, SPD, EH, PSC..., vale, porque son similares dada su simplicidad tipográfica.","Those of the CDU, SPD, EH, PSC..., okay, because they are similar given their typographical simplicity.","('sd',)"
"Mirar en ti, con la verdad, Mirar en ti, sin el ideal, Descubriras cual verdad encierra tu verdadero camino, Al comienzo del artículo dice de Confucio: ...también uno de los 5 Santos de las 5 Grandes Religiones....","To look at yourself, with the truth, To look at yourself, without the ideal, You will discover which truth contains your true path, At the beginning of the article it says of Confucius: ...also one of the 5 Saints of the 5 Great Religions....","('sd',)"
"Concuerdo con usted, es más yo había editado el artículo de forma que Un elemento químico es un tipo de materia constituida por átomos de la misma clase se elimine porque es algo incorrecto; esa es la definición de sustancia simple.","I agree with you, what's more, I had edited the article so that A chemical element is a type of matter made up of atoms of the same class is eliminated because it is something wrong; that is the definition of simple substance.","('aa', 'sd')"
"Gaudio, lo cierto es que un número significativo de fuentes respetables (y mantengo mi posición de que el DPD es una fuente respetable pero no la única válida, menos aún en cuestiones de exónimos) lo emplean sin tilde.","Gaudio, the truth is that a significant number of respectable sources (and I maintain my position that the DPD is a respectable source but not the only valid one, even less in matters of exonyms) use it without an accent.","('+',)"
"La publicación del DPD es posterior a la de la XXII edición del DRAE, y por lo tanto podría considerarse más actualizado.","The publication of the DPD is later than that of the XXII edition of the DRAE, and therefore it could be considered more up-to-date.","('sv',)"
"en el apartado de estetica en la parte que dice: Pero Hegel no solo no cree esto posible, ya que tanto la razón como la sensibilidad no se prestarían a tal mediación y reclamarían su pureza, sino que además aclara que, siendo mediador el arte no ganaría más seriedad, ya que este no.... .","in the section on aesthetics in the part that says: But Hegel not only does not believe this possible, since both reason and sensibility would not lend themselves to such mediation and would claim their purity, but also clarifies that, being art mediator, it does not It would gain more seriousness, since this one does not...","('sv',)"
"Si mal no recuerdo, los tres nombres son correctos según donde se utilicen.","If I remember correctly, all three names are correct depending on where they are used.","('sd',)"
"Syaoran es el nombre que aparece en el manga y por tanto podemos considerarlo el original, pero esto no es motive para siempre utilizar este nombre.","Syaoran is the name that appears in the manga and therefore we can consider it the original, but this is not a reason to always use this name.","('sd',)"
Shaoran es el nombre que se utilizó en la serie de TV.,Shaoran is the name that was used in the TV series.,"('sd',)"
"Es que un tabú ES una prohibición, pero es algo más: el motivo de la prohibición de un tabú no es administrativa o técnica, sino religiosa o supersticiosa, como creo que este es el caso.","It is that a taboo IS a prohibition, but it is something else: the reason for the prohibition of a taboo is not administrative or technical, but religious or superstitious, as I think this is the case.","('sv',)"
Nada que ver con 'mitos o leyendas'.,Nothing to do with 'myths or legends'.,"('sd',)"
Saludos wikipedistas.,Greetings Wikipedians.,"('fp',)"
He recibido la petición de para una mediación informal en la presenta discusión.,I have received a request for informal mediation in the present dispute.,"('sd',)"
"Pienso que no es necesario abrir una página para el caso, a menos que las partes insistan en ello.","I think that it is not necessary to open a page for the case, unless the parties insist on it.","('sv',)"
"Hola Jalu, primero que nada, no me gustaría que tomes esto como algo personal, no fue mi intención sugerir que vos fueras la autora de esta edición.","Hi Jalu, first of all, I don't want you to take this personally, I didn't mean to suggest that you authored this edit.","('sd',)"
"Eso si, me tomé el atrevimiento de poner un poco de sangría a tus comentarios por una cuestión de orden visual.","Of course, I took the audacity to indent your comments a little for a matter of visual order.","('sd',)"
"No se si será confusión mía, pero creo que el texto no está demasiado claro.","I don't know if it's my confusion, but I think the text isn't too clear.","('sd',)"
"Dice Rodin hizo un primer modelo de la escultura en yeso en 1880, aunque la primera escultura a gran escala se culminó en 1902, y más abajo El Pensador está fundido en bronce y fue terminado en 1880.","Rodin says he made a first model of the sculpture in plaster in 1880, although the first large-scale sculpture was completed in 1902, and below The Thinker is cast in bronze and was completed in 1880.","('sd',)"
¿Cuándo fue terminada?,When was it finished?,"('qw',)"
Responderé yo a su inquietud porque Gabriel está de vacaciones desde ayer y porque yo he sido uno de los revisores del artículo.,I will respond to your concern because Gabriel has been on vacation since yesterday and because I have been one of the reviewers of the article.,"('sd',)"
"Y, tratándose de un artículo referido a un tema científico, vamos a hablar con la debida propiedad.","And, in the case of an article referring to a scientific topic, we are going to speak with due propriety.","('sd',)"
Creo que la fotografía debería ser de cuando era futbolista activo.,I think the photograph should be from when he was an active footballer.,()
"Si bien la imagen que uno recuerda es la más reciente, Figueroa tiene una biografía en Wikipedia por haber sido futbolista entre los años 60 y 80 por lo que creo que la imagen de la ficha debería se de esa época.","Although the image that one remembers is the most recent, Figueroa has a biography on Wikipedia for having been a footballer between the 60s and 80s, so I think the image on the file should be from that time.","('sd',)"
esto es un tormento... La parte de organización no hay quien la wikifique... el artículo es horrible... yo lo borraba y empezaba de nuevo... No se de donde se ha sacado todo lo de organización en adelante pero eso es un copyvio de muy señor nuestro...,"This is tormenting... No one can wikify the organization part... the article is horrible... I deleted it and started again... I don't know where everything about organization has been taken from now on, but That is a copyvio of our very lord...","('sv',)"
"Si la ansiedad es uno de los trastornos que con frecuencia aparecen asociados a la enfermedad celíaca, entonces este material debería aparecer en el artículo sobre enfermedad celíaca, no en este.","If anxiety is one of the disorders often associated with celiac disease, then this material should appear in the celiac disease article, not this one.","('sv',)"
Toda la sección sobra porque no aporta nada al tema del Trastorno de ansiedad.,The whole section is unnecessary because it does not contribute anything to the topic of Anxiety Disorder.,"('sv',)"
"En la clasificación taxonómica de esta planta, aparece la expresión nombre binomial, que, en mi opinión, es un mal reflejo de la sistematización de la wiki en inglés.","In the taxonomic classification of this plant, the expression binomial name appears, which, in my opinion, is a bad reflection of the systematization of the wiki in English.","('sv',)"
Allí se habla del binomial name pero yo creo que es más natural llamarlo simplemente especie.,There they talk about the binomial name but I think it is more natural to simply call it a species.,"('sd',)"
Gracias por tu respuesta.,Thanks for your answer.,"('fc',)"
"Primero, quiero que quede bien claro que no quería criticar a las personas que han escrito este artículo, sino informar de lo que había que mejorar de manera urgente, sobre todo en la introducción, que es lo que lee más gente.","First, I want to make it very clear that I did not want to criticize the people who have written this article, but to report what urgently needed to be improved, especially in the introduction, which is what most people read.","('sv',)"
"El siglo XVIII fue escenario de sucesivas guerras entre las principales potencias europeas, que en el ámbito americano persiguieron un definido interés mercantil.","The eighteenth century was the scene of successive wars between the main European powers, which in the American sphere pursued a defined commercial interest.","('sv',)"
"Todas ellas afectaron a Cuba de uno u otro modo, pero sin duda la más trascendente fue la Guerra de los Siete Años (1756-1763), en el curso de la cual La Habana fue tomada por un cuerpo expedicionario inglés.","All of them affected Cuba in one way or another, but without a doubt the most important was the Seven Years' War (1756-1763), during which Havana was taken by an English expeditionary force.","('sv',)"
Quisiera opiniones con respecto a lo siguiente: Creo que Freya debería estar a la misma altura que Throne 1 y 2 ya que no es un parche de Throne 2 Gracia.,I would like opinions regarding the following: I think Freya should be at the same level as Throne 1 and 2 since it is not a patch for Throne 2 Gracia.,"('sv',)"
Goddess of Destruction debería ir a la altura de Saga 1 y Saga 2 ya que no me parece que sea parte de la Saga 2.,Goddess of Destruction should be on par with Saga 1 and Saga 2 as it doesn't seem like it's part of Saga 2 to me.,"('sv',)"
"¿No sería más lógico llamar a esta página dinosaurio, que es la palabra general que (incluso los paleontólogos más recalcitrantes, también) usa todo el mundo en nuestra lengua.","Wouldn't it be more logical to call this page a dinosaur, which is the catch-all word that (even the most recalcitrant paleontologists, too) uses all over the world in our language.","('sv',)"
¿Quién dice cosas como este dinosaurium (singular de dinosauria) es un sauropodum?,Who says things like this dinosaurium (singular of dinosauria) is a sauropodum?,()
Lo de Dinosauria ya queda bien explicado justo al principio del artículo y no es necesario para nada más.,The Dinosauria thing is already well explained right at the beginning of the article and it is not necessary for anything else.,"('sv',)"
¿PORQUÉ SEGUIR USANDO EL TERMINO ODONTOLOGÍA?,WHY CONTINUE USING THE TERM DENTISTRY?,"('qy',)"
"Ya por definición sabemos que se queda corto con respecto al que hacer de los profesionales que hoy en día se desempeñan en dicha actividad, al igual que la región anatómica que estudian, que va mas allá del órgano dentario y abarca el aparato estomatognático, defendamos la terminología correcta y realcemos la profesión que es Estomatología.","By definition we already know that it falls short with respect to what professionals who work in this activity today do, like the anatomical region they study, which goes beyond the dental organ and includes the stomatognathic system, we defend the correct terminology and let's enhance the profession that is Dentistry.","('sv',)"
"Este es un artículo sobre educación, por lo que el contenido y las fuentes deberían ser sobre todo pedagógicos.","This is an article about education, so the content and sources should be primarily educational.","('sd',)"
Las cuestiones ideológicas o políticas no deberían ser las predominantes.,Ideological or political issues should not be the predominant ones.,"('sv',)"
"Wikipedia es en español, pero no de España.","Wikipedia is in Spanish, but not from Spain.","('sd',)"
La categoría está mal.,The category is wrong.,"('sd',)"
El artículo no se refiere sólo a informática.,The article does not refer only to computing.,"('sd',)"
"Estimado Angel, barbarismo significa que procede de lengua extrnajera y fue adoptado en lengua materna.","Dear Angel, barbarism means that it comes from a foreign language and was adopted in the mother tongue.","('sv',)"
"Santiago de Compostela, en la Iglesia Católica es también un centro de peregrinación a nivel europeo.","Santiago de Compostela, in the Catholic Church is also a center of pilgrimage at a European level.","('sd',)"
"Debido a que se considera que allí está enterrado el apóstol Santiago el Mayor, el Papa le concedió a esta sede metropolitana el privilegio del jubileo en la Edad Media.","Because the Apostle Saint James the Greater is considered to be buried there, the Pope granted this metropolitan see the privilege of a jubilee in the Middle Ages.","('sd',)"
